stim_amp stim_dur min_dist x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 x4 y4 z4 x5 y5 z5 x6 y6 z6 x7 y7 z7 x8 y8 z8 x9 y9 z9 spike 
-10053.154 1.434 777.557 4.140 -799.600 12.310 -1099.350 -548.699 230.782 -2063.178 -608.254 9.169 -1590.083 -1291.835 -779.043 -1094.312 -2047.277 -1492.165 -1033.548 -2960.787 -2160.793 -1665.648 -3703.838 -2707.910 -1912.245 -2757.465 -2881.825 -1593.061 -1650.935 -2858.119 -1143.871 -533.475 -2812.535 0 
-156852.743 1.433 49.439 46.433 -9.955 -13.753 -397.017 380.514 -1003.327 -758.485 1114.087 -1562.644 -437.904 1668.365 -612.704 -15.036 2207.396 312.311 422.088 3070.115 903.829 562.606 4179.543 882.942 -370.566 3886.887 709.104 -1160.613 3054.095 804.674 -1908.173 2125.256 980.678 1 
-7648498.852 1.524 121.167 -3.729 146.126 -3.706 -775.095 -488.027 571.806 -1625.493 -576.556 1072.417 -1650.643 520.387 743.077 -1691.767 1587.306 312.941 -2180.001 2539.982 -60.280 -3146.412 3103.037 -54.789 -2844.784 2808.889 844.753 -1971.509 2459.645 1509.786 -982.412 2128.162 2113.418 1 
-15145.263 0.622 1581.294 -6.447 -57.204 -1580.246 -1024.432 -536.525 -1829.906 -1612.898 -1329.019 -1915.255 -654.050 -1783.879 -1483.868 285.840 -2191.547 -959.045 889.232 -2891.986 -302.876 861.328 -3900.793 179.351 639.521 -3909.242 -788.847 701.939 -3368.300 -1803.901 848.325 -2725.325 -2812.722 0 
-351265.912 0.642 42.553 34.020 -18.523 -17.615 -1030.747 -228.903 -405.405 -1931.073 80.110 -680.266 -1386.162 1067.627 -479.610 -781.692 2040.617 -365.892 -511.520 3125.201 -555.469 -917.240 4081.533 -969.995 -1514.141 3642.111 -308.713 -1616.065 2890.269 558.003 -1598.964 2101.062 1468.731 1 
-2622080.824 0.831 530.234 -2560.327 -33.181 4.952 -2278.028 -1143.483 -121.164 -1699.135 -1920.593 85.249 -1276.050 -1111.911 777.646 -940.424 -308.319 1530.388 -493.277 94.632 2491.089 147.163 -194.051 3361.440 541.212 -418.189 2477.605 552.609 -223.822 1342.289 493.590 78.471 177.085 1 
-1411108.898 1.282 488.556 -4.204 1038.210 40.071 459.150 38.935 -299.227 836.406 -548.324 -1002.384 665.993 431.887 -1570.299 575.465 1457.648 -2084.734 824.588 2270.474 -2834.739 1347.190 2451.085 -3806.994 709.289 1689.906 -3826.194 -201.116 1173.797 -3344.900 -1168.744 736.924 -2774.459 1 
-2253733.144 1.220 382.466 18.193 381.932 -8.769 34.035 1462.960 390.604 -431.903 2286.504 684.374 -1304.212 1568.656 494.235 -2149.288 794.074 389.863 -3160.036 323.671 595.692 -4166.373 538.723 1033.928 -3860.285 1214.491 373.378 -3159.194 1464.758 -505.648 -2400.092 1605.583 -1431.120 1 
-1576013.980 1.695 856.543 1029.120 -245.552 -84.210 215.011 -842.246 472.163 -579.586 -883.938 1062.504 -428.507 244.805 938.021 -309.292 1367.229 712.239 -642.352 2443.264 583.886 -1477.126 3148.429 822.439 -1145.134 2635.304 1605.485 -290.293 2019.316 2070.948 674.570 1413.169 2463.620 1 
-73600.776 0.575 177.698 154.488 -17.044 -86.136 81.575 1130.519 -164.582 -253.177 2003.296 163.785 -638.168 1279.065 963.568 -923.922 540.343 1798.828 -1179.478 210.717 2853.007 -1499.973 599.811 3851.456 -2055.177 923.695 3094.142 -2399.500 766.962 2006.150 -2707.072 491.083 873.959 1 
