stim_amp stim_dur min_dist x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 x4 y4 z4 x5 y5 z5 x6 y6 z6 x7 y7 z7 x8 y8 z8 x9 y9 z9 x10 y10 z10 x11 y11 z11 x12 y12 z12 x13 y13 z13 x14 y14 z14 x15 y15 z15 x16 y16 z16 x17 y17 z17 x18 y18 z18 x19 y19 z19 spike 
-10053.154 1.434 777.557 4.140 -799.600 12.310 -493.693 -679.175 123.367 -997.563 -568.770 215.822 -1511.047 -481.063 269.716 -2007.492 -498.460 170.087 -1978.801 -795.229 -227.177 -1743.086 -1103.560 -578.970 -1488.919 -1420.320 -910.221 -1251.672 -1756.702 -1234.444 -1062.219 -2123.660 -1556.357 -972.231 -2530.647 -1871.247 -1033.548 -2960.787 -2160.793 -1235.703 -3367.173 -2419.405 -1577.233 -3676.073 -2659.777 -1938.479 -3483.830 -2846.071 -1945.780 -2964.358 -2880.079 -1843.064 -2450.772 -2879.376 -1695.141 -1948.207 -2867.728 -1520.781 -1454.275 -2851.001 -1143.871 -533.475 -2812.535 0 
-156852.743 1.433 49.439 46.433 -9.955 -13.753 -153.423 155.000 -469.297 -356.082 339.804 -915.838 -562.072 565.121 -1341.354 -751.992 927.178 -1640.572 -695.025 1304.283 -1322.358 -541.614 1538.879 -879.845 -365.534 1755.625 -436.357 -175.336 1989.617 -7.834 25.932 2268.148 387.249 232.089 2624.688 708.606 422.088 3070.115 903.829 563.715 3568.349 971.663 591.159 4083.790 913.292 230.490 4295.295 747.926 -211.645 4023.523 706.478 -597.592 3669.889 724.059 -955.061 3289.390 769.068 -1294.737 2895.176 831.239 -1908.173 2125.256 980.678 1 
-7648498.852 1.524 121.167 -3.729 146.126 -3.706 -347.037 -153.597 255.097 -701.959 -435.221 518.423 -1079.587 -677.668 788.384 -1509.491 -740.993 1048.882 -1671.186 -272.723 1012.945 -1663.669 225.855 852.473 -1644.153 715.721 667.230 -1649.087 1201.782 471.577 -1710.521 1682.649 273.659 -1876.499 2141.630 87.436 -2180.001 2539.982 -60.280 -2586.296 2857.961 -142.192 -3054.570 3078.424 -97.966 -3261.973 3051.428 300.051 -2985.871 2877.072 705.549 -2619.088 2709.586 1039.824 -2219.942 2551.134 1340.098 -1803.147 2399.958 1619.522 -982.412 2128.162 2113.418 1 
-15145.263 0.622 1581.294 -6.447 -57.204 -1580.246 -474.632 -262.471 -1695.754 -934.251 -487.732 -1808.135 -1373.611 -753.135 -1911.996 -1687.822 -1147.170 -1963.908 -1372.016 -1497.049 -1807.176 -924.809 -1685.253 -1609.761 -475.120 -1849.456 -1396.496 -39.814 -2025.168 -1163.702 362.129 -2238.697 -904.806 689.692 -2522.530 -613.202 889.232 -2891.986 -302.876 958.179 -3322.835 -15.627 894.512 -3801.878 174.912 706.406 -4110.376 -92.683 643.952 -3989.236 -595.162 644.670 -3774.603 -1072.921 674.726 -3526.395 -1533.441 723.094 -3260.127 -1982.230 848.325 -2725.325 -2812.722 0 
-351265.912 0.642 42.553 34.020 -18.523 -17.615 -446.806 -127.597 -195.328 -932.748 -215.424 -370.738 -1425.941 -258.296 -541.576 -1891.972 -118.671 -683.020 -1826.872 370.873 -629.888 -1559.978 811.085 -533.095 -1269.606 1238.931 -447.673 -986.474 1675.578 -386.558 -735.754 2134.822 -366.226 -560.612 2624.458 -415.960 -511.520 3125.201 -555.469 -594.821 3601.985 -752.025 -837.917 4017.745 -946.677 -1270.370 4077.011 -838.816 -1470.052 3775.198 -464.520 -1560.783 3438.915 -73.365 -1604.212 3096.456 320.874 -1619.420 2752.783 716.232 -1598.964 2101.062 1468.731 1 
-2622080.824 0.831 530.234 -2560.327 -33.181 4.952 -2443.214 -539.831 -60.340 -2308.315 -1043.460 -113.085 -2137.995 -1538.049 -138.297 -1851.013 -1945.369 -46.543 -1546.561 -1731.599 282.585 -1368.070 -1348.153 591.613 -1216.791 -955.862 904.481 -1067.925 -580.316 1238.193 -906.396 -246.701 1608.043 -717.087 -3.086 2029.594 -493.277 94.632 2491.089 -237.400 50.012 2944.335 72.167 -136.022 3317.698 413.703 -400.934 3193.856 522.992 -433.396 2685.857 555.846 -380.089 2165.857 559.038 -289.496 1649.745 545.761 -176.385 1138.199 493.590 78.471 177.085 1 
-1411108.898 1.282 488.556 -4.204 1038.210 40.071 206.512 579.548 -100.999 417.060 127.805 -262.925 627.234 -306.265 -467.065 820.094 -621.105 -814.004 799.877 -306.970 -1198.223 714.482 150.016 -1439.592 637.321 620.647 -1656.888 585.628 1090.668 -1882.649 579.085 1546.703 -2139.879 651.221 1957.401 -2454.547 824.588 2270.474 -2834.739 1064.508 2460.767 -3257.969 1311.980 2483.370 -3714.134 1248.013 2145.678 -4004.020 870.496 1803.369 -3897.405 463.841 1534.239 -3706.297 49.431 1301.706 -3485.432 -368.697 1092.350 -3248.812 -1168.744 736.924 -2774.459 1 
-2253733.144 1.220 382.466 18.193 381.932 -8.769 39.221 872.706 173.911 38.378 1364.554 354.760 -8.071 1855.163 531.986 -229.305 2285.262 682.838 -699.070 2130.292 637.915 -1083.598 1786.812 545.460 -1451.353 1422.461 463.798 -1828.592 1063.307 406.706 -2233.221 731.318 391.284 -2680.344 467.116 447.585 -3160.036 323.671 595.692 -3639.731 314.133 802.326 -4089.391 472.997 1008.260 -4230.687 887.872 907.883 -3979.472 1144.578 530.983 -3674.398 1300.898 134.984 -3354.483 1411.944 -264.907 -3028.128 1495.508 -666.353 -2400.092 1605.583 -1431.120 1 
-1576013.980 1.695 856.543 1029.120 -245.552 -84.210 663.719 -528.530 162.931 290.922 -792.975 419.276 -95.842 -1017.086 692.133 -500.317 -1057.566 994.536 -572.220 -571.078 1064.342 -486.186 -59.096 994.624 -392.696 447.366 897.567 -324.883 956.332 793.090 -313.443 1470.235 693.334 -406.998 1978.273 615.635 -642.352 2443.264 583.886 -986.542 2834.892 616.396 -1396.717 3117.774 763.281 -1562.729 3047.679 1175.214 -1284.308 2752.476 1501.400 -923.511 2462.774 1746.797 -532.951 2183.093 1956.155 -125.951 1911.603 2144.023 674.570 1413.169 2463.620 1 
-73600.776 0.575 177.698 154.488 -17.044 -86.136 130.263 504.437 -132.440 91.878 1026.240 -161.942 25.336 1545.656 -155.444 -138.854 2000.220 -3.459 -384.653 1844.003 398.899 -551.309 1496.623 753.782 -693.080 1134.939 1105.563 -823.764 788.578 1476.394 -948.501 484.841 1884.270 -1067.740 273.422 2346.845 -1179.478 210.717 2853.007 -1294.620 294.068 3355.691 -1452.317 528.944 3791.358 -1752.857 861.173 3753.131 -1980.957 929.149 3290.085 -2157.475 897.946 2797.959 -2312.580 824.105 2302.904 -2455.543 724.745 1808.597 -2707.072 491.083 873.959 1 
-238912.117 1.796 363.705 -319.688 -564.735 24.177 -141.856 -179.113 -282.979 55.495 204.731 -580.197 292.621 581.606 -855.876 662.445 885.293 -1022.279 1029.505 686.034 -753.436 1250.987 344.978 -423.263 1454.808 -16.544 -103.226 1676.484 -383.850 197.616 1943.864 -745.931 465.168 2291.655 -1079.022 667.613 2732.237 -1340.431 768.457 3229.292 -1500.726 780.177 3746.594 -1501.751 732.862 3960.008 -1106.848 758.691 3685.634 -693.246 915.895 3328.044 -356.115 1096.984 2942.976 -56.697 1288.453 2543.807 219.128 1486.533 1763.763 700.573 1875.319 1 
-184634.104 1.649 699.354 38.479 1286.677 52.944 -248.372 848.743 77.512 -546.623 419.810 118.568 -867.648 12.745 192.756 -1248.252 -261.520 384.081 -1430.485 89.656 684.382 -1466.592 567.169 896.669 -1494.468 1055.955 1083.685 -1547.980 1545.470 1262.770 -1657.413 2025.115 1442.058 -1867.350 2466.971 1625.311 -2204.678 2820.273 1809.712 -2630.089 3057.070 1999.053 -3093.125 3130.568 2222.739 -3233.715 2823.000 2519.047 -2890.699 2464.670 2677.165 -2469.744 2169.987 2778.557 -2022.573 1908.532 2857.732 -1561.556 1668.458 2924.645 -663.608 1251.815 3031.931 0 
-8118504.564 0.701 718.075 -552.162 -4.839 459.049 -572.805 -526.644 414.705 -603.407 -1045.893 350.940 -653.303 -1556.654 246.553 -766.883 -1978.819 -9.499 -918.798 -1756.908 -427.101 -1009.385 -1354.923 -750.505 -1076.821 -939.608 -1062.964 -1128.739 -536.468 -1393.633 -1165.352 -169.481 -1765.330 -1181.804 115.167 -2203.048 -1177.213 260.008 -2704.662 -1172.957 260.194 -3227.040 -1221.442 100.526 -3718.970 -1514.130 -230.042 -3803.943 -1839.626 -369.221 -3422.180 -2124.073 -415.813 -2984.870 -2389.440 -421.047 -2533.049 -2643.475 -401.118 -2075.099 -3106.699 -318.463 -1197.599 1 
-2821651.699 1.602 2980.173 1526.351 -5.000 -2697.885 1439.943 229.278 -3158.668 1352.580 482.809 -3608.903 1265.122 774.991 -4034.630 1194.154 1188.241 -4319.015 1257.169 1522.165 -3956.748 1368.017 1688.924 -3472.711 1497.682 1833.943 -2986.069 1646.564 1994.439 -2510.006 1819.528 2199.166 -2060.174 2023.262 2485.227 -1673.453 2248.346 2871.282 -1403.424 2457.684 3328.009 -1260.335 2581.233 3832.555 -1257.302 2295.872 4119.198 -1453.686 1828.495 3937.594 -1593.829 1391.524 3660.794 -1676.041 972.860 3350.269 -1729.747 566.146 3021.681 -1765.284 -184.616 2368.525 -1799.288 0 
-262042.523 1.198 222.248 -221.506 -7.377 16.581 -651.211 -220.703 -194.415 -1071.509 -432.168 -425.184 -1469.131 -639.727 -695.514 -1731.697 -816.345 -1091.180 -1373.927 -759.577 -1431.020 -894.402 -643.891 -1607.261 -403.978 -537.740 -1758.525 87.835 -456.395 -1919.961 571.328 -418.219 -2117.335 1019.842 -455.697 -2382.518 1383.361 -592.253 -2731.550 1632.879 -795.654 -3142.969 1720.396 -1009.102 -3608.395 1418.512 -934.404 -3933.123 1051.756 -575.588 -3844.794 746.149 -191.638 -3661.744 472.906 198.980 -3444.153 220.584 592.850 -3207.829 -220.065 1346.250 -2728.632 1 
-10192.799 1.452 611.879 236.087 27.415 -622.439 -210.536 -243.196 -578.044 -652.880 -516.370 -512.248 -1084.307 -792.044 -402.077 -1429.916 -1041.350 -128.056 -1223.993 -960.374 316.638 -879.028 -758.907 655.456 -532.229 -533.936 977.610 -206.045 -298.041 1313.045 75.699 -58.301 1683.618 267.239 171.704 2111.756 318.854 363.199 2594.749 242.841 486.093 3096.761 58.757 477.398 3582.433 -96.697 86.221 3740.472 -4.853 -342.151 3459.184 154.877 -702.275 3114.049 343.109 -1028.941 2750.116 548.435 -1334.866 2377.421 968.831 -1879.005 1657.287 0 
-6102969.382 1.957 464.805 -4.954 -13.678 1798.233 -102.280 0.117 1283.441 -221.086 14.551 773.247 -383.782 31.605 275.751 -700.987 64.610 -117.922 -1117.143 129.473 145.366 -1404.838 198.797 577.586 -1670.563 282.809 1021.429 -1945.767 389.454 1454.383 -2252.648 530.068 1854.671 -2614.922 721.921 2178.464 -3035.682 965.897 2368.340 -3488.188 1222.512 2416.129 -3954.646 1421.431 2303.486 -4201.057 1213.111 1990.362 -4039.294 746.326 1826.028 -3800.687 286.715 1747.638 -3536.359 -164.054 1708.557 -3258.864 -608.378 1693.650 -2711.600 -1440.057 1708.691 1 
-343542.827 0.593 93.188 -19.529 91.048 3.612 -359.315 -112.645 -339.502 -715.291 -311.918 -668.430 -1102.922 -499.542 -966.427 -1573.843 -614.359 -1113.862 -1809.729 -405.769 -729.724 -1853.033 -130.567 -286.129 -1874.143 160.976 148.867 -1912.326 468.862 571.132 -1999.116 795.660 970.944 -2179.182 1139.770 1320.309 -2483.689 1477.220 1577.253 -2887.553 1766.779 1738.328 -3373.479 1935.913 1809.817 -3705.809 1633.932 1786.881 -3574.727 1130.228 1774.192 -3336.625 663.821 1783.834 -3058.513 220.264 1806.208 -2758.223 -208.111 1837.349 -2151.114 -993.608 1913.683 1 
-575574.397 1.849 645.987 -768.561 -751.798 -220.852 -263.803 -625.399 -283.425 245.591 -520.421 -347.606 761.331 -460.560 -416.103 1245.211 -584.012 -501.582 1171.973 -1070.433 -570.459 892.359 -1510.413 -621.659 591.666 -1934.938 -685.119 302.440 -2363.023 -772.590 52.399 -2805.507 -898.552 -110.752 -3265.284 -1085.311 -133.846 -3721.215 -1338.708 -16.505 -4146.494 -1618.466 257.686 -4518.911 -1855.036 663.978 -4617.094 -1689.359 793.458 -4412.248 -1228.562 812.705 -4173.221 -762.927 784.857 -3927.000 -301.203 729.040 -3678.740 156.947 574.195 -3206.637 1019.823 1 
-11867.166 0.867 835.866 -5.952 -1303.317 -46.917 -169.616 -906.606 253.929 -325.001 -520.384 572.220 -461.017 -157.685 924.658 -499.681 76.900 1372.052 -224.697 -244.458 1632.487 85.322 -660.227 1706.053 406.755 -1071.438 1753.496 746.365 -1466.179 1811.846 1111.637 -1828.519 1909.133 1506.999 -2122.160 2083.362 1911.487 -2300.619 2361.136 2279.892 -2367.026 2725.504 2538.403 -2333.598 3174.831 2300.259 -2255.382 3548.102 1781.627 -2287.275 3515.480 1281.959 -2361.138 3376.924 798.438 -2454.663 3197.899 326.459 -2560.672 2996.287 -547.751 -2785.202 2575.862 0 
