stim_amp stim_dur min_dist x0 y0 z0 x1 y1 z1 spike 
-10053.154 1.434 777.557 4.140 -799.600 12.310 -1143.871 -533.475 -2812.535 0 
-156852.743 1.433 49.439 46.433 -9.955 -13.753 -1908.173 2125.256 980.678 1 
-7648498.852 1.524 121.167 -3.729 146.126 -3.706 -982.412 2128.162 2113.418 1 
-15145.263 0.622 1581.294 -6.447 -57.204 -1580.246 848.325 -2725.325 -2812.722 0 
-351265.912 0.642 42.553 34.020 -18.523 -17.615 -1598.964 2101.062 1468.731 1 
-2622080.824 0.831 530.234 -2560.327 -33.181 4.952 493.590 78.471 177.085 1 
-1411108.898 1.282 488.556 -4.204 1038.210 40.071 -1168.744 736.924 -2774.459 1 
-2253733.144 1.220 382.466 18.193 381.932 -8.769 -2400.092 1605.583 -1431.120 1 
-1576013.980 1.695 856.543 1029.120 -245.552 -84.210 674.570 1413.169 2463.620 1 
-73600.776 0.575 177.698 154.488 -17.044 -86.136 -2707.072 491.083 873.959 1 
-238912.117 1.796 363.705 -319.688 -564.735 24.177 1763.763 700.573 1875.319 1 
-184634.104 1.649 699.354 38.479 1286.677 52.944 -663.608 1251.815 3031.931 0 
-8118504.564 0.701 718.075 -552.162 -4.839 459.049 -3106.699 -318.463 -1197.599 1 
-2821651.699 1.602 2980.173 1526.351 -5.000 -2697.885 -184.616 2368.525 -1799.288 0 
-262042.523 1.198 222.248 -221.506 -7.377 16.581 -220.065 1346.250 -2728.632 1 
-10192.799 1.452 611.879 236.087 27.415 -622.439 968.831 -1879.005 1657.287 0 
-6102969.382 1.957 464.805 -4.954 -13.678 1798.233 -2711.600 -1440.057 1708.691 1 
-343542.827 0.593 93.188 -19.529 91.048 3.612 -2151.114 -993.608 1913.683 1 
-575574.397 1.849 645.987 -768.561 -751.798 -220.852 574.195 -3206.637 1019.823 1 
-11867.166 0.867 835.866 -5.952 -1303.317 -46.917 -547.751 -2785.202 2575.862 0 
-1025630.353 1.861 398.582 323.134 -4.632 -394.751 -448.645 2847.198 405.203 1 
-5586735.383 1.959 103.925 100.760 -43.182 -10.054 -2852.990 -838.346 97.538 1 
-40877.841 0.873 898.513 -304.186 -23.664 -903.381 551.753 99.837 -3839.471 0 
-12500.151 1.351 3216.316 -303.435 -2358.666 2549.579 642.503 -1730.593 5391.977 0 
-7814073.738 1.907 1417.769 386.179 3.912 -2801.355 -2542.041 88.938 -3688.372 1 
-136733.048 1.884 115.388 -235.371 23.400 -5.586 -918.350 1044.421 -2809.077 1 
-11770.080 1.378 403.452 -97.374 1270.758 57.434 -399.758 -315.285 2657.730 0 
-47152.871 1.823 886.236 24.756 18.786 -885.691 289.760 3053.777 -1180.831 0 
-1079858.386 1.568 577.806 4.123 -571.986 -81.695 1402.767 -3277.981 -381.509 1 
-1320316.941 0.742 446.797 24.376 359.050 264.796 940.430 2530.399 2217.894 1 
-46789.069 0.679 953.349 949.164 -47.802 -75.350 3234.426 -1877.686 -968.437 0 
-10584.360 1.317 497.909 -185.662 -7.120 461.944 649.118 813.458 -2366.182 0 
-437370.750 1.312 1537.618 -182.630 -139.345 2250.822 1132.241 1280.535 -120.582 0 
