stim_amp stim_dur min_dist x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 x4 y4 z4 x5 y5 z5 x6 y6 z6 x7 y7 z7 x8 y8 z8 x9 y9 z9 x10 y10 z10 x11 y11 z11 x12 y12 z12 x13 y13 z13 x14 y14 z14 x15 y15 z15 x16 y16 z16 x17 y17 z17 x18 y18 z18 x19 y19 z19 x20 y20 z20 x21 y21 z21 x22 y22 z22 x23 y23 z23 x24 y24 z24 x25 y25 z25 x26 y26 z26 x27 y27 z27 x28 y28 z28 x29 y29 z29 x30 y30 z30 x31 y31 z31 x32 y32 z32 x33 y33 z33 x34 y34 z34 x35 y35 z35 x36 y36 z36 x37 y37 z37 x38 y38 z38 x39 y39 z39 spike 
-10053.154 1.434 777.557 4.140 -799.600 12.310 -244.178 -738.499 69.562 -493.693 -679.175 123.367 -744.698 -622.270 172.651 -997.563 -568.770 215.822 -1252.823 -520.497 250.006 -1511.047 -481.063 269.716 -1771.630 -460.499 260.377 -2007.492 -498.460 170.087 -2057.024 -639.491 -32.355 -1978.801 -795.229 -227.177 -1866.843 -949.194 -407.152 -1743.086 -1103.560 -578.970 -1615.601 -1260.128 -746.021 -1488.919 -1420.320 -910.221 -1366.473 -1585.400 -1072.774 -1251.672 -1756.702 -1234.444 -1148.533 -1935.651 -1395.651 -1062.219 -2123.660 -1556.357 -1000.131 -2321.993 -1715.697 -972.231 -2530.647 -1871.247 -983.893 -2745.682 -2020.059 -1033.548 -2960.787 -2160.793 -1118.072 -3170.017 -2293.562 -1235.703 -3367.173 -2419.405 -1387.119 -3543.037 -2540.341 -1577.233 -3676.073 -2659.777 -1802.398 -3685.760 -2776.823 -1938.479 -3483.830 -2846.071 -1965.245 -3225.327 -2871.080 -1945.780 -2964.358 -2880.079 -1902.087 -2706.050 -2881.769 -1843.064 -2450.772 -2879.376 -1773.192 -2198.270 -2874.416 -1695.141 -1948.207 -2867.728 -1610.627 -1700.286 -2859.817 -1520.781 -1454.275 -2851.001 -1426.517 -1209.947 -2841.513 -1328.437 -967.145 -2831.504 -1143.871 -533.475 -2812.535 0 
-156852.743 1.433 49.439 46.433 -9.955 -13.753 -53.191 70.684 -242.326 -153.423 155.000 -469.297 -254.357 244.146 -694.099 -356.082 339.804 -915.838 -458.683 444.961 -1132.799 -562.072 565.121 -1341.354 -664.998 713.902 -1530.256 -751.992 927.178 -1640.572 -751.365 1151.749 -1527.023 -695.025 1304.283 -1322.358 -622.320 1427.295 -1102.783 -541.614 1538.879 -879.845 -455.620 1646.792 -657.063 -365.534 1755.625 -436.357 -271.988 1868.826 -219.326 -175.336 1989.617 -7.834 -75.880 2121.439 195.586 25.932 2268.148 387.249 129.235 2434.378 561.248 232.089 2624.688 708.606 331.039 2838.361 822.946 422.088 3070.115 903.829 501.316 3314.773 952.970 563.715 3568.349 971.663 600.579 3827.151 959.705 591.159 4083.790 913.292 471.425 4289.800 825.446 230.490 4295.295 747.926 -0.718 4178.418 715.550 -211.645 4023.523 706.478 -409.249 3851.567 710.781 -597.592 3669.889 724.059 -779.023 3481.872 743.973 -955.061 3289.390 769.068 -1126.733 3093.585 798.373 -1294.737 2895.176 831.239 -1459.659 2694.713 867.117 -1621.887 2492.550 905.644 -1908.173 2125.256 980.678 1 
-7648498.852 1.524 121.167 -3.729 146.126 -3.706 -174.297 -5.384 125.229 -347.037 -153.597 255.097 -522.610 -297.424 386.086 -701.959 -435.221 518.423 -886.694 -563.961 652.422 -1079.587 -677.668 788.384 -1286.478 -759.635 925.830 -1509.491 -740.993 1048.882 -1639.878 -526.531 1067.076 -1671.186 -272.723 1012.945 -1672.484 -21.837 937.543 -1663.669 225.855 852.473 -1652.669 471.446 761.722 -1644.153 715.721 667.230 -1641.752 959.131 570.206 -1649.087 1201.782 471.577 -1670.316 1443.325 372.308 -1710.521 1682.649 273.659 -1776.524 1917.163 177.604 -1876.499 2141.630 87.436 -2012.605 2350.274 7.038 -2180.001 2539.982 -60.280 -2372.832 2709.527 -111.464 -2586.296 2857.961 -142.192 -2816.036 2983.243 -144.320 -3054.570 3078.424 -97.966 -3254.752 3112.642 54.511 -3261.973 3051.428 300.051 -3144.368 2964.381 516.286 -2985.871 2877.072 705.549 -2808.171 2792.095 878.281 -2619.088 2709.586 1039.824 -2422.313 2629.347 1193.140 -2219.942 2551.134 1340.098 -2013.275 2474.727 1481.946 -1803.147 2399.958 1619.522 -1590.211 2326.651 1753.523 -1374.894 2254.687 1884.412 -982.412 2128.162 2113.418 1 
-15145.263 0.622 1581.294 -6.447 -57.204 -1580.246 -241.297 -157.972 -1638.249 -474.632 -262.471 -1695.754 -705.904 -371.839 -1752.516 -934.251 -487.732 -1808.135 -1158.004 -613.061 -1861.839 -1373.611 -753.135 -1911.996 -1569.957 -920.834 -1953.699 -1687.822 -1147.170 -1963.908 -1577.444 -1363.631 -1898.434 -1372.016 -1497.049 -1807.176 -1150.392 -1597.775 -1710.388 -924.809 -1685.253 -1609.761 -699.036 -1767.588 -1505.264 -475.120 -1849.456 -1396.496 -254.738 -1934.278 -1282.897 -39.814 -2025.168 -1163.702 167.060 -2125.411 -1037.993 362.129 -2238.697 -904.806 539.383 -2369.515 -763.218 689.692 -2522.530 -613.202 806.505 -2697.947 -457.946 889.232 -2891.986 -302.876 939.435 -3101.009 -153.415 958.179 -3322.835 -15.627 944.824 -3556.674 101.085 894.512 -3801.878 174.912 797.347 -4032.225 130.278 706.406 -4110.376 -92.683 662.723 -4070.669 -347.007 643.952 -3989.236 -595.162 639.506 -3887.846 -836.689 644.670 -3774.603 -1072.921 656.932 -3653.382 -1304.911 674.726 -3526.395 -1533.441 697.012 -3395.016 -1759.080 723.094 -3260.127 -1982.230 752.383 -3122.414 -2203.249 784.491 -2982.328 -2422.377 848.325 -2725.325 -2812.722 0 
-351265.912 0.642 42.553 34.020 -18.523 -17.615 -205.868 -75.007 -106.697 -446.806 -127.597 -195.328 -689.013 -175.031 -283.397 -932.748 -215.424 -370.738 -1178.337 -245.364 -457.030 -1425.941 -258.296 -541.576 -1673.892 -236.752 -622.012 -1891.972 -118.671 -683.020 -1921.296 131.086 -673.647 -1826.872 370.873 -629.888 -1699.606 594.602 -581.105 -1559.978 811.085 -533.095 -1415.322 1024.913 -488.107 -1269.606 1238.931 -447.673 -1125.732 1455.222 -413.239 -986.474 1675.578 -386.558 -855.075 1901.641 -369.894 -735.754 2134.822 -366.226 -634.692 2376.031 -379.805 -560.612 2624.458 -415.960 -519.352 2875.909 -475.882 -511.520 3125.201 -555.469 -536.411 3368.330 -649.374 -594.821 3601.985 -752.025 -691.041 3821.955 -856.119 -837.917 4017.745 -946.677 -1060.963 4137.341 -967.652 -1270.370 4077.011 -838.816 -1392.335 3935.456 -656.465 -1470.052 3775.198 -464.520 -1523.341 3608.469 -269.593 -1560.783 3438.915 -73.365 -1586.835 3268.007 123.551 -1604.212 3096.456 320.874 -1614.683 2924.643 518.461 -1619.420 2752.783 716.232 -1619.384 2581.009 914.135 -1615.211 2409.399 1112.138 -1598.964 2101.062 1468.731 1 
-2622080.824 0.831 530.234 -2560.327 -33.181 4.952 -2503.439 -286.747 -28.822 -2443.214 -539.831 -60.340 -2378.654 -792.202 -88.822 -2308.315 -1043.460 -113.085 -2229.649 -1292.756 -130.974 -2137.995 -1538.049 -138.297 -2021.873 -1771.969 -123.765 -1851.013 -1945.369 -46.543 -1668.611 -1895.372 119.456 -1546.561 -1731.599 282.585 -1451.229 -1543.546 438.081 -1368.070 -1348.153 591.613 -1291.038 -1151.192 746.352 -1216.791 -955.862 904.481 -1143.041 -764.680 1067.816 -1067.925 -580.316 1238.193 -989.654 -406.127 1417.582 -906.396 -246.701 1608.043 -816.145 -109.008 1811.697 -717.087 -3.086 2029.594 -609.157 64.667 2258.245 -493.277 94.632 2491.089 -369.736 89.229 2721.865 -237.400 50.012 2944.335 -92.829 -23.507 3149.700 72.167 -136.022 3317.698 267.035 -290.793 3368.347 413.703 -400.934 3193.856 484.691 -434.701 2944.886 522.992 -433.396 2685.857 544.564 -412.960 2425.565 555.846 -380.089 2165.857 560.043 -338.235 1907.217 559.038 -289.496 1649.745 554.019 -235.244 1393.422 545.761 -176.385 1138.199 534.876 -113.672 883.993 521.765 -47.598 630.745 493.590 78.471 177.085 1 
-1411108.898 1.282 488.556 -4.204 1038.210 40.071 101.179 808.292 -28.522 206.512 579.548 -100.999 311.804 352.459 -178.553 417.060 127.805 -262.925 522.258 -92.881 -357.201 627.234 -306.265 -467.065 730.859 -501.708 -606.627 820.094 -621.105 -814.004 832.954 -513.115 -1040.938 799.877 -306.970 -1198.223 757.629 -81.785 -1325.258 714.482 150.016 -1439.592 673.680 384.757 -1548.698 637.321 620.647 -1656.888 607.260 856.395 -1767.282 585.628 1090.668 -1882.649 575.088 1321.675 -2005.825 579.085 1546.703 -2139.879 602.461 1761.154 -2288.353 651.221 1957.401 -2454.547 726.738 2128.312 -2637.870 824.588 2270.474 -2834.739 939.085 2382.167 -3042.018 1064.508 2460.767 -3257.969 1193.657 2500.155 -3482.133 1311.980 2483.370 -3714.134 1362.025 2359.230 -3929.953 1248.013 2145.678 -4004.020 1066.718 1960.963 -3969.695 870.496 1803.369 -3897.405 668.630 1662.879 -3807.139 463.841 1534.239 -3706.297 257.250 1414.483 -3598.396 49.431 1301.706 -3485.432 -159.285 1194.619 -3368.640 -368.697 1092.350 -3248.812 -578.658 994.156 -3126.557 -789.074 899.545 -3002.274 -1168.744 736.924 -2774.459 1 
-2253733.144 1.220 382.466 18.193 381.932 -8.769 30.722 627.166 82.753 39.221 872.706 173.911 42.407 1118.535 264.623 38.378 1364.554 354.760 23.713 1610.451 444.072 -8.071 1855.163 531.986 -73.866 2093.809 616.440 -229.305 2285.262 682.838 -480.282 2267.435 678.565 -699.070 2130.292 637.915 -896.056 1963.950 591.459 -1083.598 1786.812 545.460 -1267.530 1605.199 502.358 -1451.353 1422.461 463.798 -1637.628 1241.039 431.304 -1828.592 1063.307 406.706 -2026.420 892.118 392.343 -2233.221 731.318 391.284 -2450.955 586.764 407.883 -2680.344 467.116 447.585 -2918.335 378.881 511.584 -3160.036 323.671 595.692 -3401.497 301.601 694.480 -3639.731 314.133 802.326 -3871.560 366.349 911.913 -4089.391 472.997 1008.260 -4248.091 669.482 1034.737 -4230.687 887.872 907.883 -4118.296 1036.156 724.727 -3979.472 1144.578 530.983 -3829.789 1230.250 333.776 -3674.398 1300.898 134.984 -3515.562 1360.620 -64.688 -3354.483 1411.944 -264.907 -3191.862 1456.537 -465.496 -3028.128 1495.508 -666.353 -2863.588 1529.777 -867.411 -2698.439 1559.952 -1068.626 -2400.092 1605.583 -1431.120 1 
-1576013.980 1.695 856.543 1029.120 -245.552 -84.210 847.116 -388.723 38.465 663.719 -528.530 162.931 478.515 -663.847 289.655 290.922 -792.975 419.276 99.979 -912.779 552.860 -95.842 -1017.086 692.133 -299.093 -1088.683 840.379 -500.317 -1057.566 994.536 -584.605 -832.155 1068.097 -572.220 -571.078 1064.342 -533.326 -313.653 1035.176 -486.186 -59.096 994.624 -437.907 194.191 947.862 -392.696 447.366 897.567 -353.882 701.237 845.502 -324.883 956.332 793.090 -309.723 1212.820 741.787 -313.443 1470.235 693.334 -342.988 1726.831 650.142 -406.998 1978.273 615.635 -508.277 2218.576 592.882 -642.352 2443.264 583.886 -803.427 2649.563 590.599 -986.542 2834.892 616.396 -1186.988 2994.933 668.251 -1396.717 3117.774 763.281 -1569.605 3154.257 945.686 -1562.729 3047.679 1175.214 -1442.040 2900.969 1354.311 -1284.308 2752.476 1501.400 -1109.116 2606.281 1630.124 -923.511 2462.774 1746.797 -730.824 2321.796 1854.784 -532.951 2183.093 1956.155 -331.074 2046.425 2052.267 -125.951 1911.603 2144.023 81.818 1778.430 2232.163 291.843 1646.770 2317.176 674.570 1413.169 2463.620 1 
-73600.776 0.575 177.698 154.488 -17.044 -86.136 143.708 243.624 -110.816 130.263 504.437 -132.440 113.366 765.352 -149.990 91.878 1026.240 -161.942 63.779 1286.728 -165.529 25.336 1545.656 -155.444 -32.867 1797.837 -117.616 -138.854 2000.220 -3.459 -278.280 1983.892 205.394 -384.653 1844.003 398.899 -472.726 1675.118 578.766 -551.309 1496.623 753.782 -624.114 1315.313 928.418 -693.080 1134.939 1105.563 -759.383 958.380 1287.492 -823.764 788.578 1476.394 -886.716 629.130 1674.538 -948.501 484.841 1884.270 -1009.044 362.884 2107.968 -1067.740 273.422 2346.845 -1124.249 222.827 2597.380 -1179.478 210.717 2853.007 -1235.267 234.836 3107.674 -1294.620 294.068 3355.691 -1362.963 389.831 3589.441 -1452.317 528.944 3791.358 -1591.648 718.717 3886.574 -1752.857 861.173 3753.131 -1877.462 915.515 3530.226 -1980.957 929.149 3290.085 -2072.882 920.688 3044.905 -2157.475 897.946 2797.959 -2236.934 864.940 2550.449 -2312.580 824.105 2302.904 -2385.264 777.024 2055.577 -2455.543 724.745 1808.597 -2523.865 668.131 1562.023 -2590.522 607.748 1315.886 -2707.072 491.083 873.959 1 
