stim_amp stim_dur min_dist x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 x4 y4 z4 spike 
-10053.154 1.434 777.557 4.140 -799.600 12.310 -1978.801 -795.229 -227.177 -972.231 -2530.647 -1871.247 -1945.780 -2964.358 -2880.079 -1143.871 -533.475 -2812.535 0 
-156852.743 1.433 49.439 46.433 -9.955 -13.753 -695.025 1304.283 -1322.358 232.089 2624.688 708.606 -211.645 4023.523 706.478 -1908.173 2125.256 980.678 1 
-7648498.852 1.524 121.167 -3.729 146.126 -3.706 -1671.186 -272.723 1012.945 -1876.499 2141.630 87.436 -2985.871 2877.072 705.549 -982.412 2128.162 2113.418 1 
-15145.263 0.622 1581.294 -6.447 -57.204 -1580.246 -1372.016 -1497.049 -1807.176 689.692 -2522.530 -613.202 643.952 -3989.236 -595.162 848.325 -2725.325 -2812.722 0 
-351265.912 0.642 42.553 34.020 -18.523 -17.615 -1826.872 370.873 -629.888 -560.612 2624.458 -415.960 -1470.052 3775.198 -464.520 -1598.964 2101.062 1468.731 1 
-2622080.824 0.831 530.234 -2560.327 -33.181 4.952 -1546.561 -1731.599 282.585 -717.087 -3.086 2029.594 522.992 -433.396 2685.857 493.590 78.471 177.085 1 
-1411108.898 1.282 488.556 -4.204 1038.210 40.071 799.877 -306.970 -1198.223 651.221 1957.401 -2454.547 870.496 1803.369 -3897.405 -1168.744 736.924 -2774.459 1 
-2253733.144 1.220 382.466 18.193 381.932 -8.769 -699.070 2130.292 637.915 -2680.344 467.116 447.585 -3979.472 1144.578 530.983 -2400.092 1605.583 -1431.120 1 
-1576013.980 1.695 856.543 1029.120 -245.552 -84.210 -572.220 -571.078 1064.342 -406.998 1978.273 615.635 -1284.308 2752.476 1501.400 674.570 1413.169 2463.620 1 
-73600.776 0.575 177.698 154.488 -17.044 -86.136 -384.653 1844.003 398.899 -1067.740 273.422 2346.845 -1980.957 929.149 3290.085 -2707.072 491.083 873.959 1 
-238912.117 1.796 363.705 -319.688 -564.735 24.177 1029.505 686.034 -753.436 2291.655 -1079.022 667.613 3685.634 -693.246 915.895 1763.763 700.573 1875.319 1 
-184634.104 1.649 699.354 38.479 1286.677 52.944 -1430.485 89.656 684.382 -1867.350 2466.971 1625.311 -2890.699 2464.670 2677.165 -663.608 1251.815 3031.931 0 
