stim_amp stim_dur min_dist x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 x4 y4 z4 x5 y5 z5 x6 y6 z6 x7 y7 z7 x8 y8 z8 x9 y9 z9 x10 y10 z10 x11 y11 z11 x12 y12 z12 x13 y13 z13 x14 y14 z14 x15 y15 z15 x16 y16 z16 x17 y17 z17 x18 y18 z18 x19 y19 z19 x20 y20 z20 x21 y21 z21 x22 y22 z22 x23 y23 z23 x24 y24 z24 x25 y25 z25 x26 y26 z26 x27 y27 z27 x28 y28 z28 x29 y29 z29 x30 y30 z30 x31 y31 z31 x32 y32 z32 x33 y33 z33 x34 y34 z34 x35 y35 z35 x36 y36 z36 x37 y37 z37 x38 y38 z38 x39 y39 z39 x40 y40 z40 x41 y41 z41 x42 y42 z42 x43 y43 z43 x44 y44 z44 x45 y45 z45 x46 y46 z46 x47 y47 z47 x48 y48 z48 x49 y49 z49 x50 y50 z50 x51 y51 z51 x52 y52 z52 x53 y53 z53 x54 y54 z54 x55 y55 z55 x56 y56 z56 x57 y57 z57 x58 y58 z58 x59 y59 z59 spike 
-10053.154 1.434 777.557 4.140 -799.600 12.310 -144.723 -762.757 47.023 -293.975 -726.472 80.635 -443.681 -690.870 112.929 -593.899 -656.081 143.691 -744.698 -622.270 172.651 -896.162 -589.670 199.435 -1048.409 -558.628 223.485 -1201.545 -529.586 244.118 -1355.718 -503.301 260.172 -1511.047 -481.063 269.716 -1667.392 -465.159 269.436 -1823.288 -460.907 251.900 -1968.537 -481.608 199.973 -2055.411 -547.864 93.516 -2057.024 -639.491 -32.355 -2016.455 -733.231 -151.548 -1957.989 -826.096 -264.063 -1890.572 -918.438 -371.970 -1818.168 -1010.780 -476.617 -1743.086 -1103.560 -578.970 -1666.714 -1197.140 -679.630 -1590.083 -1291.835 -779.043 -1514.020 -1387.931 -877.544 -1439.252 -1485.696 -975.389 -1366.473 -1585.400 -1072.774 -1296.418 -1687.331 -1169.848 -1229.973 -1791.839 -1266.715 -1168.008 -1899.184 -1363.440 -1111.633 -2009.686 -1460.017 -1062.219 -2123.660 -1556.357 -1021.468 -2241.371 -1652.235 -991.474 -2362.945 -1747.222 -974.637 -2488.207 -1840.608 -972.210 -2616.251 -1931.683 -983.893 -2745.682 -2020.059 -1009.378 -2875.124 -2105.477 -1047.704 -3003.296 -2187.973 -1098.465 -3128.927 -2267.614 -1161.148 -3250.746 -2344.649 -1235.703 -3367.173 -2419.405 -1322.317 -3476.121 -2492.373 -1421.781 -3574.240 -2564.211 -1535.674 -3655.125 -2635.801 -1665.648 -3703.838 -2707.910 -1802.398 -3685.760 -2776.823 -1902.408 -3579.755 -2826.278 -1949.677 -3433.204 -2853.246 -1964.774 -3277.621 -2867.842 -1961.286 -3120.724 -2875.904 -1945.780 -2964.358 -2880.079 -1921.823 -2808.992 -2881.724 -1891.370 -2654.748 -2881.565 -1855.863 -2501.591 -2880.100 -1816.242 -2349.457 -2877.644 -1773.192 -2198.270 -2874.416 -1727.221 -2047.958 -2870.574 -1678.711 -1898.460 -2866.231 -1627.989 -1749.709 -2861.480 -1143.871 -533.475 -2812.535 0 
-156852.743 1.433 49.439 46.433 -9.955 -13.753 -13.274 38.043 -151.062 -73.185 87.214 -287.866 -133.323 137.792 -424.056 -193.709 190.007 -559.516 -254.357 244.146 -694.099 -315.290 300.604 -827.595 -376.532 359.966 -959.680 -438.090 422.935 -1089.932 -499.960 490.686 -1217.603 -562.072 565.121 -1341.354 -624.134 649.339 -1458.625 -684.980 749.706 -1562.804 -738.940 877.439 -1633.479 -764.104 1027.258 -1619.659 -751.365 1151.749 -1527.023 -720.434 1248.534 -1407.374 -681.353 1330.374 -1279.012 -637.647 1403.971 -1147.144 -590.788 1472.749 -1013.750 -541.614 1538.879 -879.845 -490.559 1603.736 -746.020 -437.904 1668.365 -612.704 -383.843 1733.611 -480.256 -328.506 1800.205 -349.012 -271.988 1868.826 -219.326 -214.357 1940.158 -91.610 -155.657 2014.989 33.588 -95.977 2094.020 155.699 -35.405 2178.092 273.932 25.932 2268.148 387.249 87.825 2365.226 494.273 149.933 2470.401 593.184 211.705 2584.600 681.715 272.358 2707.651 758.367 331.039 2838.361 822.946 386.850 2975.619 875.354 439.029 3118.142 916.181 486.637 3265.006 945.628 528.676 3415.322 964.097 563.715 3568.349 971.663 589.756 3723.289 968.278 603.501 3879.081 953.416 598.805 4033.524 925.770 562.606 4179.543 882.942 471.425 4289.800 825.446 329.602 4317.134 772.304 182.233 4277.244 738.690 43.618 4206.038 719.651 -87.060 4119.311 709.878 -211.645 4023.523 706.478 -331.534 3921.836 707.765 -447.594 3815.895 712.786 -560.548 3706.821 720.803 -670.896 3595.317 731.323 -779.023 3481.872 743.973 -885.221 3366.836 758.476 -989.717 3250.467 774.617 -1092.712 3132.974 792.208 -1908.173 2125.256 980.678 1 
-7648498.852 1.524 121.167 -3.729 146.126 -3.706 -105.841 54.876 73.554 -208.648 -35.326 151.121 -312.286 -124.266 229.040 -416.886 -211.724 307.348 -522.610 -297.424 386.086 -629.681 -380.979 465.307 -738.418 -461.809 545.082 -849.193 -539.183 625.469 -962.609 -611.848 706.551 -1079.587 -677.668 788.384 -1201.455 -732.841 870.853 -1330.334 -768.406 953.038 -1465.990 -761.148 1028.978 -1581.022 -670.597 1071.851 -1639.878 -526.531 1067.076 -1664.275 -374.144 1038.390 -1672.858 -222.243 998.965 -1673.409 -71.717 953.603 -1669.605 77.555 904.374 -1663.669 225.855 852.473 -1656.996 373.404 798.557 -1650.643 520.387 743.077 -1645.477 666.945 686.363 -1642.267 813.174 628.669 -1641.752 959.131 570.206 -1644.710 1104.824 511.165 -1652.082 1250.200 451.739 -1664.738 1395.143 392.159 -1683.781 1539.422 332.686 -1710.521 1682.649 273.659 -1746.513 1824.197 215.540 -1793.548 1963.084 158.966 -1853.493 2097.870 104.797 -1926.858 2227.194 53.919 -2012.605 2350.274 7.038 -2109.710 2466.450 -35.093 -2216.671 2575.556 -71.938 -2332.458 2677.287 -102.707 -2455.962 2771.527 -126.561 -2586.296 2857.961 -142.192 -2722.503 2936.147 -147.722 -2863.449 3005.106 -139.983 -3007.001 3062.619 -113.074 -3146.412 3103.037 -54.789 -3254.752 3112.642 54.511 -3283.170 3082.857 202.802 -3244.048 3034.478 346.216 -3172.393 2982.011 475.676 -3084.119 2929.230 594.484 -2985.871 2877.072 705.549 -2880.965 2825.773 810.803 -2771.144 2775.392 911.400 -2657.620 2725.895 1008.261 -2541.161 2677.231 1102.016 -2422.313 2629.347 1193.140 -2301.469 2582.190 1281.991 -2178.920 2535.715 1368.844 -2054.909 2489.872 1453.943 -982.412 2128.162 2113.418 1 
-15145.263 0.622 1581.294 -6.447 -57.204 -1580.246 -147.514 -117.273 -1615.096 -288.103 -178.535 -1649.797 -428.110 -241.222 -1684.303 -567.424 -305.563 -1718.565 -705.904 -371.839 -1752.516 -843.346 -440.440 -1786.062 -979.436 -511.937 -1819.060 -1113.761 -587.011 -1851.316 -1245.591 -666.803 -1882.494 -1373.611 -753.135 -1911.996 -1495.291 -848.936 -1938.701 -1604.049 -960.086 -1959.826 -1679.341 -1096.081 -1967.479 -1668.965 -1246.608 -1945.029 -1577.444 -1363.631 -1898.434 -1457.563 -1449.482 -1844.599 -1328.328 -1518.861 -1788.148 -1195.223 -1579.076 -1730.068 -1060.353 -1633.775 -1670.585 -924.809 -1685.253 -1609.761 -789.221 -1734.932 -1547.549 -654.050 -1783.879 -1483.868 -519.674 -1832.946 -1418.616 -386.448 -1882.858 -1351.672 -254.738 -1934.278 -1282.897 -124.969 -1987.865 -1212.120 2.300 -2044.363 -1139.108 126.484 -2104.450 -1063.700 246.779 -2168.926 -985.674 362.129 -2238.697 -904.806 471.132 -2314.769 -820.900 571.939 -2398.217 -733.855 662.244 -2490.024 -643.790 740.507 -2590.223 -551.430 806.505 -2697.947 -457.946 860.104 -2812.415 -364.536 901.866 -2932.666 -272.352 931.953 -3058.122 -182.584 950.722 -3188.264 -96.478 958.179 -3322.835 -15.627 954.174 -3461.704 57.827 938.011 -3604.876 120.450 908.072 -3752.142 165.787 861.328 -3900.793 179.351 797.347 -4032.225 130.278 735.994 -4100.882 6.961 694.729 -4108.037 -143.654 668.926 -4083.165 -296.502 653.027 -4041.357 -447.144 643.952 -3989.236 -595.162 639.897 -3930.189 -740.807 639.843 -3866.018 -884.337 642.996 -3797.995 -1026.050 648.825 -3726.925 -1166.178 656.932 -3653.382 -1304.911 667.017 -3577.784 -1442.406 678.851 -3500.437 -1578.785 692.231 -3421.597 -1714.163 848.325 -2725.325 -2812.722 0 
-351265.912 0.642 42.553 34.020 -18.523 -17.615 -109.800 -52.820 -71.113 -253.964 -85.878 -124.464 -398.524 -117.446 -177.643 -543.524 -147.269 -230.630 -689.013 -175.031 -283.397 -835.050 -200.286 -335.905 -981.711 -222.376 -388.093 -1129.053 -240.486 -439.883 -1277.138 -253.229 -491.132 -1425.941 -258.296 -541.576 -1575.079 -251.710 -590.681 -1722.566 -224.561 -636.938 -1857.198 -156.357 -674.944 -1931.243 -23.629 -688.009 -1921.296 131.086 -673.647 -1870.765 277.579 -648.624 -1802.993 416.515 -620.240 -1726.412 550.643 -590.899 -1644.699 681.746 -561.654 -1559.978 811.085 -533.095 -1473.497 939.496 -505.635 -1386.162 1067.627 -479.610 -1298.688 1196.005 -455.328 -1211.687 1325.072 -433.094 -1125.732 1455.222 -413.239 -1041.419 1586.829 -396.151 -959.452 1720.287 -382.346 -880.547 1855.902 -372.300 -805.604 1993.989 -366.660 -735.754 2134.822 -366.226 -672.421 2278.574 -371.974 -617.406 2425.219 -385.061 -572.853 2574.352 -406.730 -540.115 2724.985 -437.281 -519.352 2875.909 -475.882 -510.734 3026.022 -521.632 -513.846 3174.438 -573.259 -528.786 3320.363 -629.697 -555.585 3463.131 -689.720 -594.821 3601.985 -752.025 -647.503 3736.004 -814.950 -715.675 3863.655 -876.097 -803.245 3981.727 -931.138 -917.240 4081.533 -969.995 -1060.963 4137.341 -967.652 -1199.340 4118.726 -902.919 -1300.108 4051.662 -803.989 -1372.507 3966.008 -694.131 -1427.218 3872.559 -580.255 -1470.052 3775.198 -464.520 -1504.343 3675.642 -347.782 -1531.963 3574.728 -230.427 -1554.334 3472.969 -112.679 -1572.393 3370.664 5.339 -1586.835 3268.007 123.551 -1598.178 3165.124 241.907 -1606.813 3062.106 360.374 -1613.081 2959.014 478.927 -1598.964 2101.062 1468.731 1 
-2622080.824 0.831 530.234 -2560.327 -33.181 4.952 -2526.546 -185.369 -15.546 -2491.695 -337.409 -35.331 -2455.570 -489.262 -54.251 -2417.972 -640.881 -72.148 -2378.654 -792.202 -88.822 -2337.277 -943.130 -103.996 -2293.340 -1093.512 -117.255 -2246.249 -1243.129 -128.080 -2195.003 -1391.572 -135.588 -2137.995 -1538.049 -138.297 -2072.618 -1680.881 -133.634 -1993.517 -1815.246 -115.792 -1891.230 -1923.760 -71.248 -1769.725 -1953.216 16.152 -1668.611 -1895.372 119.456 -1590.788 -1801.900 218.686 -1526.065 -1695.045 314.053 -1469.028 -1582.029 407.273 -1416.942 -1465.846 499.517 -1368.070 -1348.153 591.613 -1321.362 -1229.933 684.159 -1276.050 -1111.911 777.646 -1231.536 -994.674 872.495 -1187.339 -878.755 969.093 -1143.041 -764.680 1067.816 -1098.254 -653.032 1169.058 -1052.579 -544.545 1273.290 -1005.646 -439.959 1380.889 -957.059 -340.259 1492.313 -906.396 -246.701 1608.043 -853.215 -160.900 1728.537 -797.080 -84.922 1854.151 -737.644 -21.252 1984.950 -674.914 28.609 2120.133 -609.157 64.667 2258.245 -540.531 86.986 2397.864 -469.204 96.354 2537.604 -395.093 93.069 2676.165 -317.993 77.602 2812.253 -237.400 50.012 2944.335 -152.490 10.173 3070.427 -61.864 -42.616 3187.394 36.843 -109.915 3289.212 147.163 -194.051 3361.440 267.035 -290.793 3368.347 367.355 -369.074 3281.784 432.057 -412.000 3146.102 473.963 -431.595 2996.078 502.688 -437.156 2841.684 522.992 -433.396 2685.857 537.469 -422.949 2529.663 547.541 -407.277 2373.549 554.245 -387.481 2217.719 558.250 -364.288 2062.262 560.043 -338.235 1907.217 559.979 -309.722 1752.592 558.325 -279.052 1598.390 555.303 -246.489 1444.596 493.590 78.471 177.085 1 
-1411108.898 1.282 488.556 -4.204 1038.210 40.071 59.032 900.140 -0.677 122.250 762.435 -42.667 185.450 625.182 -86.140 248.633 488.481 -131.337 311.804 352.459 -178.553 374.962 217.300 -228.198 438.106 83.289 -280.875 501.227 -49.190 -337.311 564.297 -179.456 -398.719 627.234 -306.265 -467.065 689.783 -427.193 -545.558 750.966 -535.861 -640.830 806.029 -612.061 -764.861 835.985 -603.491 -914.190 832.954 -513.115 -1040.938 815.082 -393.167 -1140.601 791.745 -262.783 -1225.202 766.298 -127.545 -1301.223 740.252 10.423 -1371.981 714.482 150.016 -1439.592 689.574 290.641 -1505.369 665.993 431.887 -1570.299 644.149 573.441 -1635.164 624.434 715.032 -1700.626 607.260 856.395 -1767.282 593.094 997.240 -1835.714 582.542 1137.198 -1906.570 576.162 1275.845 -1980.426 574.705 1412.607 -2057.951 579.085 1546.703 -2139.879 590.412 1677.054 -2226.997 609.994 1802.160 -2320.097 639.222 1920.036 -2419.826 678.439 2029.023 -2526.031 726.738 2128.312 -2637.870 783.153 2217.142 -2754.609 846.315 2295.347 -2875.426 915.111 2362.387 -2999.826 988.276 2417.839 -3127.401 1064.508 2460.767 -3257.969 1142.173 2489.771 -3391.471 1218.952 2502.224 -3527.967 1290.645 2492.966 -3667.299 1347.190 2451.085 -3806.994 1362.025 2359.230 -3929.953 1308.608 2230.127 -3994.483 1214.093 2105.850 -4002.278 1104.746 1995.281 -3980.716 989.226 1895.377 -3943.729 870.496 1803.369 -3897.405 749.837 1717.380 -3844.846 627.866 1636.285 -3787.701 504.971 1559.166 -3727.125 381.381 1485.393 -3663.850 257.250 1414.483 -3598.396 132.682 1346.069 -3531.136 7.752 1279.867 -3462.349 -117.480 1215.626 -3392.263 -1168.744 736.924 -2774.459 1 
-2253733.144 1.220 382.466 18.193 381.932 -8.769 26.132 529.037 46.183 32.787 676.249 101.016 37.900 823.574 155.712 41.214 971.006 210.254 42.407 1118.535 264.623 41.031 1266.135 318.786 36.423 1413.761 372.699 27.769 1561.315 426.298 13.695 1708.600 479.467 -8.071 1855.163 531.986 -41.371 1999.889 583.389 -94.620 2139.177 632.304 -185.963 2258.245 673.550 -329.884 2305.998 690.178 -480.282 2267.435 678.565 -615.248 2190.660 655.546 -739.640 2098.401 628.772 -857.684 1998.400 600.822 -971.796 1893.922 572.837 -1083.598 1786.812 545.460 -1194.137 1678.135 519.139 -1304.212 1568.656 494.235 -1414.466 1458.975 471.075 -1525.442 1349.608 449.983 -1637.628 1241.039 431.304 -1751.491 1133.780 415.443 -1867.543 1028.445 402.934 -1986.206 925.671 394.267 -2107.944 826.279 390.110 -2233.221 731.318 391.284 -2362.453 642.146 398.787 -2495.925 560.523 413.804 -2633.614 488.617 437.600 -2774.798 427.939 470.477 -2918.335 378.881 511.584 -3063.193 341.827 560.000 -3208.453 316.548 614.432 -3353.376 303.301 673.800 -3497.337 302.255 736.867 -3639.731 314.133 802.326 -3779.875 340.116 868.511 -3916.698 382.526 933.027 -4047.865 445.848 991.544 -4166.373 538.723 1033.928 -4248.091 669.482 1034.737 -4257.032 809.596 971.705 -4212.082 922.207 873.028 -4143.804 1010.550 762.663 -4064.648 1083.022 647.876 -3979.472 1144.578 530.983 -3890.563 1198.165 412.920 -3799.087 1245.461 294.117 -3705.809 1287.762 174.829 -3611.195 1325.933 55.197 -3515.562 1360.620 -64.688 -3419.133 1392.305 -184.767 -3322.066 1421.358 -304.999 -3224.487 1448.100 -425.354 -2400.092 1605.583 -1431.120 1 
-1576013.980 1.695 856.543 1029.120 -245.552 -84.210 920.064 -331.805 -10.796 810.562 -416.990 63.199 700.529 -500.887 137.873 589.880 -583.268 213.322 478.515 -663.847 289.655 366.298 -742.225 367.022 253.034 -817.800 445.640 138.507 -889.818 525.746 22.376 -956.982 607.724 -95.842 -1017.086 692.133 -216.727 -1066.212 779.713 -340.731 -1095.170 871.439 -463.801 -1080.398 965.554 -554.250 -982.113 1039.235 -584.605 -832.155 1068.097 -582.235 -675.218 1070.336 -565.646 -519.281 1059.830 -542.102 -364.846 1042.181 -514.951 -211.587 1019.938 -486.186 -59.096 994.624 -457.054 92.946 967.112 -428.507 244.805 938.021 -401.328 396.697 907.817 -376.224 548.796 876.871 -353.882 701.237 845.502 -335.041 854.123 814.006 -320.608 1007.522 782.691 -311.431 1161.421 751.883 -308.603 1315.733 721.949 -313.443 1470.235 693.334 -327.537 1624.492 666.592 -352.757 1777.731 642.420 -391.111 1928.705 621.663 -443.262 2076.010 605.015 -508.277 2218.576 592.882 -585.201 2355.443 585.740 -672.546 2486.095 583.873 -769.283 2609.904 587.857 -874.262 2726.408 598.331 -986.542 2834.892 616.396 -1105.079 2934.398 643.668 -1228.622 3023.160 682.906 -1354.897 3097.507 739.174 -1477.126 3148.429 822.439 -1569.605 3154.257 945.686 -1587.555 3100.874 1088.910 -1543.660 3019.143 1214.735 -1470.256 2930.758 1321.726 -1381.804 2841.387 1415.974 -1284.308 2752.476 1501.400 -1180.757 2664.425 1580.392 -1072.719 2577.358 1654.322 -961.289 2491.261 1724.255 -847.160 2406.092 1790.899 -730.824 2321.796 1854.784 -612.638 2238.316 1916.305 -492.867 2155.604 1975.763 -371.730 2073.605 2033.419 674.570 1413.169 2463.620 1 
-73600.776 0.575 177.698 154.488 -17.044 -86.136 148.302 139.338 -101.262 141.259 295.775 -115.419 133.200 452.264 -128.404 123.967 608.795 -140.014 113.366 765.352 -149.990 101.129 921.903 -157.974 86.860 1078.388 -163.432 70.087 1234.700 -165.702 50.010 1390.619 -163.662 25.336 1545.656 -155.444 -6.075 1698.628 -137.842 -48.756 1845.747 -103.735 -111.682 1971.559 -37.148 -197.771 2022.739 77.915 -278.280 1983.892 205.394 -345.113 1905.547 323.864 -403.306 1811.540 435.570 -456.054 1709.998 543.379 -505.025 1604.375 649.048 -551.309 1496.623 753.782 -595.538 1387.903 858.404 -638.168 1279.065 963.568 -679.530 1170.796 1069.819 -719.872 1063.704 1177.642 -759.383 958.380 1287.492 -798.209 855.461 1399.837 -836.456 755.734 1515.214 -874.223 659.989 1634.062 -911.565 569.257 1756.901 -948.501 484.841 1884.270 -985.000 408.398 2016.683 -1020.961 342.031 2154.541 -1056.187 288.238 2297.930 -1090.575 248.510 2446.034 -1124.249 222.827 2597.380 -1157.442 211.132 2750.555 -1190.514 212.658 2904.198 -1223.941 227.168 3057.086 -1258.348 254.275 3208.033 -1294.620 294.068 3355.691 -1334.021 346.893 3498.355 -1378.544 413.806 3633.342 -1431.661 496.981 3755.406 -1499.973 599.811 3851.456 -1591.648 718.717 3886.574 -1692.825 818.138 3826.877 -1780.296 877.053 3711.479 -1854.711 908.884 3576.957 -1920.674 924.416 3435.178 -1980.957 929.149 3290.085 -2037.195 926.162 3143.308 -2090.319 917.161 2995.607 -2141.029 903.431 2847.419 -2189.788 885.816 2698.983 -2236.934 864.940 2550.449 -2282.719 841.267 2401.906 -2327.332 815.147 2253.416 -2370.935 786.886 2105.018 -2707.072 491.083 873.959 1 
