stim_amp stim_dur min_dist x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 x4 y4 z4 x5 y5 z5 x6 y6 z6 x7 y7 z7 x8 y8 z8 x9 y9 z9 spike 
-245041.316 0.920 611.737 -1001.039 32.313 -43.766 -730.420 206.785 -116.047 -459.801 381.258 -188.328 -189.182 555.730 -260.610 81.438 730.202 -332.891 352.057 904.675 -405.173 622.676 1079.147 -477.454 893.295 1253.620 -549.735 1163.915 1428.092 -622.017 1446.835 1610.495 -697.584 0 
-732475.161 1.255 756.180 -16.179 751.054 -86.399 -85.790 944.623 -344.440 -155.401 1138.192 -602.481 -225.012 1331.761 -860.523 -294.622 1525.330 -1118.564 -364.233 1718.899 -1376.605 -433.844 1912.468 -1634.647 -503.455 2106.037 -1892.688 -573.066 2299.606 -2150.729 -645.841 2501.974 -2420.500 1 
-9627388.757 1.247 2518.582 12.979 2560.124 -65.778 -272.385 2505.758 90.784 -557.750 2451.393 247.346 -843.114 2397.028 403.908 -1128.478 2342.662 560.470 -1413.842 2288.297 717.032 -1699.206 2233.931 873.594 -1984.571 2179.566 1030.156 -2269.935 2125.200 1186.718 -2568.270 2068.364 1350.396 0 
-4756091.109 1.591 763.875 10.947 -104.477 756.618 -274.288 -270.378 752.391 -559.523 -436.279 748.165 -844.758 -602.180 743.939 -1129.993 -768.081 739.713 -1415.228 -933.983 735.486 -1700.462 -1099.884 731.260 -1985.697 -1265.785 727.034 -2270.932 -1431.686 722.807 -2569.132 -1605.129 718.389 1 
-22726.536 1.608 229.438 -160.324 402.920 -208.648 -160.549 74.858 -172.934 -160.774 -253.204 -137.221 -160.999 -581.266 -101.508 -161.224 -909.328 -65.795 -161.448 -1237.389 -30.082 -161.673 -1565.451 5.631 -161.898 -1893.513 41.344 -162.123 -2221.575 77.057 -162.358 -2564.548 114.393 0 
-1581227.531 1.698 293.145 -609.988 10.762 136.138 -325.952 159.867 58.734 -41.917 308.972 -18.670 242.119 458.077 -96.075 526.154 607.183 -173.479 810.190 756.288 -250.883 1094.226 905.393 -328.287 1378.261 1054.499 -405.691 1662.297 1203.604 -483.095 1959.243 1359.487 -564.018 1 
-1889457.042 0.706 188.631 -43.948 168.415 -72.711 -107.371 158.554 -396.409 -170.793 148.694 -720.107 -234.216 138.833 -1043.805 -297.639 128.973 -1367.503 -361.061 119.112 -1691.201 -424.484 109.252 -2014.899 -487.907 99.392 -2338.596 -551.329 89.531 -2662.294 -617.635 79.223 -3000.706 1 
-72763.877 1.987 2262.850 28.061 189.340 2254.740 259.319 -36.276 2321.948 490.577 -261.893 2389.157 721.835 -487.509 2456.365 953.092 -713.125 2523.574 1184.350 -938.742 2590.782 1415.608 -1164.358 2657.991 1646.866 -1389.975 2725.199 1878.124 -1615.591 2792.408 2119.894 -1851.463 2862.671 0 
-520038.579 1.863 2188.815 2450.871 -394.275 -341.439 2234.103 -601.443 -479.254 2017.335 -808.611 -617.070 1800.567 -1015.778 -754.885 1583.798 -1222.946 -892.700 1367.030 -1430.114 -1030.516 1150.262 -1637.282 -1168.331 933.494 -1844.450 -1306.146 716.726 -2051.617 -1443.962 490.105 -2268.202 -1588.042 0 
-2043279.950 1.824 2631.602 -2501.490 -745.493 334.842 -2663.010 -795.128 51.386 -2824.530 -844.764 -232.071 -2986.051 -894.399 -515.527 -3147.571 -944.035 -798.983 -3309.092 -993.671 -1082.440 -3470.612 -1043.306 -1365.896 -3632.132 -1092.942 -1649.352 -3793.653 -1142.577 -1932.808 -3962.515 -1194.469 -2229.149 0 
