stim_amp stim_dur min_dist x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 x4 y4 z4 x5 y5 z5 x6 y6 z6 x7 y7 z7 x8 y8 z8 x9 y9 z9 x10 y10 z10 x11 y11 z11 x12 y12 z12 x13 y13 z13 x14 y14 z14 x15 y15 z15 x16 y16 z16 x17 y17 z17 x18 y18 z18 x19 y19 z19 spike 
-245041.316 0.920 611.737 -1001.039 32.313 -43.766 -878.031 111.618 -76.621 -755.022 190.924 -109.476 -632.013 270.230 -142.331 -509.004 349.535 -175.186 -385.996 428.841 -208.042 -262.987 508.147 -240.897 -139.978 587.452 -273.752 -16.969 666.758 -306.607 106.039 746.064 -339.462 229.048 825.369 -372.317 352.057 904.675 -405.173 475.066 983.981 -438.028 598.074 1063.286 -470.883 721.083 1142.592 -503.738 844.092 1221.897 -536.593 967.101 1301.203 -569.448 1090.109 1380.509 -602.304 1213.118 1459.814 -635.159 1446.835 1610.495 -697.584 0 
-732475.161 1.255 756.180 -16.179 751.054 -86.399 -47.820 839.040 -203.690 -79.461 927.026 -320.982 -111.103 1015.012 -438.273 -142.744 1102.998 -555.565 -174.385 1190.984 -672.856 -206.027 1278.969 -790.148 -237.668 1366.955 -907.439 -269.309 1454.941 -1024.731 -300.951 1542.927 -1142.022 -332.592 1630.913 -1259.314 -364.233 1718.899 -1376.605 -395.875 1806.885 -1493.897 -427.516 1894.871 -1611.188 -459.157 1982.857 -1728.480 -490.799 2070.843 -1845.771 -522.440 2158.829 -1963.063 -554.081 2246.815 -2080.355 -585.723 2334.801 -2197.646 -645.841 2501.974 -2420.500 1 
-9627388.757 1.247 2518.582 12.979 2560.124 -65.778 -116.732 2535.412 5.386 -246.443 2510.701 76.551 -376.154 2485.989 147.715 -505.865 2461.278 218.880 -635.576 2436.566 290.044 -765.287 2411.854 361.209 -894.998 2387.143 432.374 -1024.709 2362.431 503.538 -1154.420 2337.720 574.703 -1284.131 2313.008 645.867 -1413.842 2288.297 717.032 -1543.553 2263.585 788.196 -1673.264 2238.874 859.361 -1802.975 2214.162 930.525 -1932.686 2189.451 1001.690 -2062.397 2164.739 1072.855 -2192.108 2140.027 1144.019 -2321.819 2115.316 1215.184 -2568.270 2068.364 1350.396 0 
-4756091.109 1.591 763.875 10.947 -104.477 756.618 -118.706 -179.886 754.697 -248.358 -255.296 752.776 -378.010 -330.706 750.855 -507.662 -406.115 748.934 -637.314 -481.525 747.012 -766.967 -556.934 745.091 -896.619 -632.344 743.170 -1026.271 -707.754 741.249 -1155.923 -783.163 739.328 -1285.575 -858.573 737.407 -1415.228 -933.983 735.486 -1544.880 -1009.392 733.565 -1674.532 -1084.802 731.644 -1804.184 -1160.212 729.723 -1933.836 -1235.621 727.802 -2063.489 -1311.031 725.881 -2193.141 -1386.441 723.960 -2322.793 -1461.850 722.039 -2569.132 -1605.129 718.389 1 
-22726.536 1.608 229.438 -160.324 402.920 -208.648 -160.426 253.801 -192.414 -160.528 104.682 -176.181 -160.630 -44.437 -159.948 -160.733 -193.556 -143.715 -160.835 -342.675 -127.482 -160.937 -491.794 -111.248 -161.039 -640.913 -95.015 -161.142 -790.032 -78.782 -161.244 -939.151 -62.549 -161.346 -1088.270 -46.316 -161.448 -1237.389 -30.082 -161.551 -1386.508 -13.849 -161.653 -1535.627 2.384 -161.755 -1684.746 18.617 -161.857 -1833.865 34.850 -161.960 -1982.984 51.084 -162.062 -2132.103 67.317 -162.164 -2281.222 83.550 -162.358 -2564.548 114.393 0 
-1581227.531 1.698 293.145 -609.988 10.762 136.138 -480.881 78.537 100.954 -351.774 146.312 65.771 -222.667 214.087 30.587 -93.559 281.862 -4.597 35.548 349.637 -39.781 164.655 417.412 -74.964 293.762 485.188 -110.148 422.869 552.963 -145.332 551.976 620.738 -180.515 681.083 688.513 -215.699 810.190 756.288 -250.883 939.297 824.063 -286.067 1068.404 891.838 -321.250 1197.511 959.614 -356.434 1326.618 1027.389 -391.618 1455.725 1095.164 -426.801 1584.832 1162.939 -461.985 1713.939 1230.714 -497.169 1959.243 1359.487 -564.018 1 
-1889457.042 0.706 188.631 -43.948 168.415 -72.711 -72.777 163.933 -219.846 -101.605 159.451 -366.982 -130.433 154.969 -514.117 -159.262 150.487 -661.253 -188.090 146.005 -808.388 -216.919 141.523 -955.524 -245.747 137.041 -1102.659 -274.576 132.558 -1249.794 -303.404 128.076 -1396.930 -332.233 123.594 -1544.065 -361.061 119.112 -1691.201 -389.890 114.630 -1838.336 -418.718 110.148 -1985.471 -447.547 105.666 -2132.607 -476.375 101.184 -2279.742 -505.204 96.702 -2426.878 -534.032 92.220 -2574.013 -562.861 87.738 -2721.149 -617.635 79.223 -3000.706 1 
-72763.877 1.987 2262.850 28.061 189.340 2254.740 133.178 86.787 2285.289 238.295 -15.766 2315.839 343.412 -118.318 2346.388 448.530 -220.871 2376.937 553.647 -323.424 2407.486 658.764 -425.977 2438.036 763.881 -528.530 2468.585 868.999 -631.083 2499.134 974.116 -733.636 2529.684 1079.233 -836.189 2560.233 1184.350 -938.742 2590.782 1289.468 -1041.295 2621.332 1394.585 -1143.848 2651.881 1499.702 -1246.401 2682.430 1604.819 -1348.954 2712.980 1709.937 -1451.507 2743.529 1815.054 -1554.059 2774.078 1920.171 -1656.612 2804.628 2119.894 -1851.463 2862.671 0 
-520038.579 1.863 2188.815 2450.871 -394.275 -341.439 2352.340 -488.442 -404.082 2253.809 -582.609 -466.725 2155.278 -676.777 -529.369 2056.747 -770.944 -592.012 1958.216 -865.111 -654.656 1859.685 -959.278 -717.299 1761.154 -1053.445 -779.942 1662.623 -1147.612 -842.586 1564.092 -1241.780 -905.229 1465.561 -1335.947 -967.872 1367.030 -1430.114 -1030.516 1268.499 -1524.281 -1093.159 1169.968 -1618.448 -1155.802 1071.437 -1712.616 -1218.446 972.906 -1806.783 -1281.089 874.375 -1900.950 -1343.733 775.844 -1995.117 -1406.376 677.313 -2089.284 -1469.019 490.105 -2268.202 -1588.042 0 
-2043279.950 1.824 2631.602 -2501.490 -745.493 334.842 -2574.908 -768.054 205.998 -2648.326 -790.616 77.154 -2721.745 -813.178 -51.689 -2795.163 -835.739 -180.533 -2868.581 -858.301 -309.377 -2942.000 -880.862 -438.221 -3015.418 -903.424 -567.065 -3088.836 -925.986 -695.908 -3162.255 -948.547 -824.752 -3235.673 -971.109 -953.596 -3309.092 -993.671 -1082.440 -3382.510 -1016.232 -1211.283 -3455.928 -1038.794 -1340.127 -3529.347 -1061.355 -1468.971 -3602.765 -1083.917 -1597.815 -3676.183 -1106.479 -1726.658 -3749.602 -1129.040 -1855.502 -3823.020 -1151.602 -1984.346 -3962.515 -1194.469 -2229.149 0 
-4312444.033 1.001 638.944 -5.363 -394.535 731.465 55.790 -435.562 600.786 116.943 -476.588 470.106 178.096 -517.615 339.426 239.249 -558.641 208.747 300.402 -599.668 78.067 361.555 -640.695 -52.612 422.708 -681.721 -183.292 483.861 -722.748 -313.971 545.014 -763.774 -444.651 606.167 -804.801 -575.330 667.319 -845.827 -706.010 728.472 -886.854 -836.689 789.625 -927.880 -967.369 850.778 -968.907 -1098.049 911.931 -1009.933 -1228.728 973.084 -1050.960 -1359.408 1034.237 -1091.986 -1490.087 1095.390 -1133.013 -1620.767 1211.580 -1210.963 -1869.058 1 
