stim_amp stim_dur min_dist x0 y0 z0 x1 y1 z1 spike 
-245041.316 0.920 611.737 -1001.039 32.313 -43.766 1446.835 1610.495 -697.584 0 
-732475.161 1.255 756.180 -16.179 751.054 -86.399 -645.841 2501.974 -2420.500 1 
-9627388.757 1.247 2518.582 12.979 2560.124 -65.778 -2568.270 2068.364 1350.396 0 
-4756091.109 1.591 763.875 10.947 -104.477 756.618 -2569.132 -1605.129 718.389 1 
-22726.536 1.608 229.438 -160.324 402.920 -208.648 -162.358 -2564.548 114.393 0 
-1581227.531 1.698 293.145 -609.988 10.762 136.138 1959.243 1359.487 -564.018 1 
-1889457.042 0.706 188.631 -43.948 168.415 -72.711 -617.635 79.223 -3000.706 1 
-72763.877 1.987 2262.850 28.061 189.340 2254.740 2119.894 -1851.463 2862.671 0 
-520038.579 1.863 2188.815 2450.871 -394.275 -341.439 490.105 -2268.202 -1588.042 0 
-2043279.950 1.824 2631.602 -2501.490 -745.493 334.842 -3962.515 -1194.469 -2229.149 0 
-4312444.033 1.001 638.944 -5.363 -394.535 731.465 1211.580 -1210.963 -1869.058 1 
-17632.823 1.689 2300.285 -10.536 -140.436 -2295.970 2229.632 1237.440 -3707.823 0 
-5959447.689 1.378 1241.799 -6.978 -1241.759 7.129 -111.711 -3669.392 -1726.610 1 
-1011538.028 1.916 80.620 3.358 8.651 -80.084 2057.156 2173.392 -2.398 1 
-84230.874 1.163 974.189 1581.729 19.156 -962.366 227.531 -147.899 1692.529 0 
-10256.482 1.190 1320.005 -12.828 632.597 1158.477 -2532.539 276.752 2718.816 0 
-25319.375 0.904 1078.191 -603.475 -893.365 -14.602 -3152.210 -2355.706 510.505 0 
-4177704.347 1.975 938.319 -9.191 -691.018 -634.706 -1284.419 -1161.313 -3292.307 1 
-4009636.576 1.050 111.896 80.820 72.139 -28.015 630.790 976.197 -2819.150 1 
-86000.416 1.058 1571.543 385.313 -2007.048 -100.780 2094.598 218.958 915.817 0 
-232907.178 0.742 481.059 106.561 -5.410 -469.077 -537.459 -2433.142 -2082.020 1 
-1056176.089 1.550 2763.372 2765.007 -34.781 80.325 2696.820 -929.682 -2766.555 0 
-41787.640 0.995 2912.625 1591.164 2376.992 -549.079 1892.659 2444.233 -3518.052 0 
-45793.796 1.225 245.656 -13.486 -235.813 -67.507 2575.370 -1721.281 -105.385 0 
-1872712.206 0.815 3082.838 2512.192 -1786.019 53.996 3154.478 -1255.724 2920.437 0 
