stim_amp stim_dur min_dist x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 x4 y4 z4 x5 y5 z5 x6 y6 z6 x7 y7 z7 x8 y8 z8 x9 y9 z9 x10 y10 z10 x11 y11 z11 x12 y12 z12 x13 y13 z13 x14 y14 z14 x15 y15 z15 x16 y16 z16 x17 y17 z17 x18 y18 z18 x19 y19 z19 x20 y20 z20 x21 y21 z21 x22 y22 z22 x23 y23 z23 x24 y24 z24 x25 y25 z25 x26 y26 z26 x27 y27 z27 x28 y28 z28 x29 y29 z29 x30 y30 z30 x31 y31 z31 x32 y32 z32 x33 y33 z33 x34 y34 z34 x35 y35 z35 x36 y36 z36 x37 y37 z37 x38 y38 z38 x39 y39 z39 spike 
-245041.316 0.920 611.737 -1001.039 32.313 -43.766 -939.535 71.966 -60.193 -878.031 111.618 -76.621 -816.526 151.271 -93.048 -755.022 190.924 -109.476 -693.517 230.577 -125.904 -632.013 270.230 -142.331 -570.509 309.883 -158.759 -509.004 349.535 -175.186 -447.500 389.188 -191.614 -385.996 428.841 -208.042 -324.491 468.494 -224.469 -262.987 508.147 -240.897 -201.482 547.799 -257.324 -139.978 587.452 -273.752 -78.474 627.105 -290.179 -16.969 666.758 -306.607 44.535 706.411 -323.035 106.039 746.064 -339.462 167.544 785.716 -355.890 229.048 825.369 -372.317 290.553 865.022 -388.745 352.057 904.675 -405.173 413.561 944.328 -421.600 475.066 983.981 -438.028 536.570 1023.633 -454.455 598.074 1063.286 -470.883 659.579 1102.939 -487.310 721.083 1142.592 -503.738 782.588 1182.245 -520.166 844.092 1221.897 -536.593 905.596 1261.550 -553.021 967.101 1301.203 -569.448 1028.605 1340.856 -585.876 1090.109 1380.509 -602.304 1151.614 1420.162 -618.731 1213.118 1459.814 -635.159 1274.623 1499.467 -651.586 1336.127 1539.120 -668.014 1446.835 1610.495 -697.584 0 
-732475.161 1.255 756.180 -16.179 751.054 -86.399 -31.999 795.047 -145.044 -47.820 839.040 -203.690 -63.641 883.033 -262.336 -79.461 927.026 -320.982 -95.282 971.019 -379.627 -111.103 1015.012 -438.273 -126.923 1059.005 -496.919 -142.744 1102.998 -555.565 -158.565 1146.991 -614.211 -174.385 1190.984 -672.856 -190.206 1234.977 -731.502 -206.027 1278.969 -790.148 -221.847 1322.962 -848.794 -237.668 1366.955 -907.439 -253.489 1410.948 -966.085 -269.309 1454.941 -1024.731 -285.130 1498.934 -1083.377 -300.951 1542.927 -1142.022 -316.771 1586.920 -1200.668 -332.592 1630.913 -1259.314 -348.413 1674.906 -1317.960 -364.233 1718.899 -1376.605 -380.054 1762.892 -1435.251 -395.875 1806.885 -1493.897 -411.695 1850.878 -1552.543 -427.516 1894.871 -1611.188 -443.337 1938.864 -1669.834 -459.157 1982.857 -1728.480 -474.978 2026.850 -1787.126 -490.799 2070.843 -1845.771 -506.619 2114.836 -1904.417 -522.440 2158.829 -1963.063 -538.261 2202.822 -2021.709 -554.081 2246.815 -2080.355 -569.902 2290.808 -2139.000 -585.723 2334.801 -2197.646 -601.543 2378.794 -2256.292 -617.364 2422.787 -2314.938 -645.841 2501.974 -2420.500 1 
-9627388.757 1.247 2518.582 12.979 2560.124 -65.778 -51.877 2547.768 -30.196 -116.732 2535.412 5.386 -181.588 2523.056 40.968 -246.443 2510.701 76.551 -311.299 2498.345 112.133 -376.154 2485.989 147.715 -441.010 2473.633 183.298 -505.865 2461.278 218.880 -570.721 2448.922 254.462 -635.576 2436.566 290.044 -700.432 2424.210 325.627 -765.287 2411.854 361.209 -830.143 2399.499 396.791 -894.998 2387.143 432.374 -959.854 2374.787 467.956 -1024.709 2362.431 503.538 -1089.565 2350.076 539.120 -1154.420 2337.720 574.703 -1219.276 2325.364 610.285 -1284.131 2313.008 645.867 -1348.987 2300.653 681.449 -1413.842 2288.297 717.032 -1478.698 2275.941 752.614 -1543.553 2263.585 788.196 -1608.409 2251.229 823.779 -1673.264 2238.874 859.361 -1738.120 2226.518 894.943 -1802.975 2214.162 930.525 -1867.831 2201.806 966.108 -1932.686 2189.451 1001.690 -1997.542 2177.095 1037.272 -2062.397 2164.739 1072.855 -2127.253 2152.383 1108.437 -2192.108 2140.027 1144.019 -2256.964 2127.672 1179.601 -2321.819 2115.316 1215.184 -2386.675 2102.960 1250.766 -2451.530 2090.604 1286.348 -2568.270 2068.364 1350.396 0 
-4756091.109 1.591 763.875 10.947 -104.477 756.618 -53.879 -142.181 755.657 -118.706 -179.886 754.697 -183.532 -217.591 753.736 -248.358 -255.296 752.776 -313.184 -293.001 751.815 -378.010 -330.706 750.855 -442.836 -368.410 749.894 -507.662 -406.115 748.934 -572.488 -443.820 747.973 -637.314 -481.525 747.012 -702.140 -519.230 746.052 -766.967 -556.934 745.091 -831.793 -594.639 744.131 -896.619 -632.344 743.170 -961.445 -670.049 742.210 -1026.271 -707.754 741.249 -1091.097 -745.459 740.289 -1155.923 -783.163 739.328 -1220.749 -820.868 738.368 -1285.575 -858.573 737.407 -1350.401 -896.278 736.447 -1415.228 -933.983 735.486 -1480.054 -971.688 734.526 -1544.880 -1009.392 733.565 -1609.706 -1047.097 732.605 -1674.532 -1084.802 731.644 -1739.358 -1122.507 730.684 -1804.184 -1160.212 729.723 -1869.010 -1197.916 728.763 -1933.836 -1235.621 727.802 -1998.663 -1273.326 726.842 -2063.489 -1311.031 725.881 -2128.315 -1348.736 724.920 -2193.141 -1386.441 723.960 -2257.967 -1424.145 722.999 -2322.793 -1461.850 722.039 -2387.619 -1499.555 721.078 -2452.445 -1537.260 720.118 -2569.132 -1605.129 718.389 1 
-22726.536 1.608 229.438 -160.324 402.920 -208.648 -160.375 328.360 -200.531 -160.426 253.801 -192.414 -160.477 179.241 -184.298 -160.528 104.682 -176.181 -160.579 30.122 -168.065 -160.630 -44.437 -159.948 -160.682 -118.997 -151.831 -160.733 -193.556 -143.715 -160.784 -268.116 -135.598 -160.835 -342.675 -127.482 -160.886 -417.235 -119.365 -160.937 -491.794 -111.248 -160.988 -566.354 -103.132 -161.039 -640.913 -95.015 -161.091 -715.473 -86.899 -161.142 -790.032 -78.782 -161.193 -864.592 -70.665 -161.244 -939.151 -62.549 -161.295 -1013.711 -54.432 -161.346 -1088.270 -46.316 -161.397 -1162.830 -38.199 -161.448 -1237.389 -30.082 -161.500 -1311.949 -21.966 -161.551 -1386.508 -13.849 -161.602 -1461.068 -5.733 -161.653 -1535.627 2.384 -161.704 -1610.187 10.501 -161.755 -1684.746 18.617 -161.806 -1759.306 26.734 -161.857 -1833.865 34.850 -161.909 -1908.425 42.967 -161.960 -1982.984 51.084 -162.011 -2057.544 59.200 -162.062 -2132.103 67.317 -162.113 -2206.663 75.433 -162.164 -2281.222 83.550 -162.215 -2355.782 91.667 -162.266 -2430.341 99.783 -162.358 -2564.548 114.393 0 
-1581227.531 1.698 293.145 -609.988 10.762 136.138 -545.434 44.649 118.546 -480.881 78.537 100.954 -416.327 112.424 83.362 -351.774 146.312 65.771 -287.220 180.199 48.179 -222.667 214.087 30.587 -158.113 247.975 12.995 -93.559 281.862 -4.597 -29.006 315.750 -22.189 35.548 349.637 -39.781 100.101 383.525 -57.372 164.655 417.412 -74.964 229.208 451.300 -92.556 293.762 485.188 -110.148 358.315 519.075 -127.740 422.869 552.963 -145.332 487.422 586.850 -162.924 551.976 620.738 -180.515 616.529 654.625 -198.107 681.083 688.513 -215.699 745.636 722.401 -233.291 810.190 756.288 -250.883 874.744 790.176 -268.475 939.297 824.063 -286.067 1003.851 857.951 -303.658 1068.404 891.838 -321.250 1132.958 925.726 -338.842 1197.511 959.614 -356.434 1262.065 993.501 -374.026 1326.618 1027.389 -391.618 1391.172 1061.276 -409.210 1455.725 1095.164 -426.801 1520.279 1129.051 -444.393 1584.832 1162.939 -461.985 1649.386 1196.827 -479.577 1713.939 1230.714 -497.169 1778.493 1264.602 -514.761 1843.047 1298.489 -532.353 1959.243 1359.487 -564.018 1 
-1889457.042 0.706 188.631 -43.948 168.415 -72.711 -58.362 166.174 -146.279 -72.777 163.933 -219.846 -87.191 161.692 -293.414 -101.605 159.451 -366.982 -116.019 157.210 -440.550 -130.433 154.969 -514.117 -144.848 152.728 -587.685 -159.262 150.487 -661.253 -173.676 148.246 -734.820 -188.090 146.005 -808.388 -202.505 143.764 -881.956 -216.919 141.523 -955.524 -231.333 139.282 -1029.091 -245.747 137.041 -1102.659 -260.162 134.800 -1176.227 -274.576 132.558 -1249.794 -288.990 130.317 -1323.362 -303.404 128.076 -1396.930 -317.819 125.835 -1470.497 -332.233 123.594 -1544.065 -346.647 121.353 -1617.633 -361.061 119.112 -1691.201 -375.476 116.871 -1764.768 -389.890 114.630 -1838.336 -404.304 112.389 -1911.904 -418.718 110.148 -1985.471 -433.132 107.907 -2059.039 -447.547 105.666 -2132.607 -461.961 103.425 -2206.175 -476.375 101.184 -2279.742 -490.789 98.943 -2353.310 -505.204 96.702 -2426.878 -519.618 94.461 -2500.445 -534.032 92.220 -2574.013 -548.446 89.979 -2647.581 -562.861 87.738 -2721.149 -577.275 85.497 -2794.716 -591.689 83.256 -2868.284 -617.635 79.223 -3000.706 1 
-72763.877 1.987 2262.850 28.061 189.340 2254.740 80.619 138.064 2270.015 133.178 86.787 2285.289 185.737 35.511 2300.564 238.295 -15.766 2315.839 290.854 -67.042 2331.113 343.412 -118.318 2346.388 395.971 -169.595 2361.662 448.530 -220.871 2376.937 501.088 -272.148 2392.212 553.647 -323.424 2407.486 606.206 -374.701 2422.761 658.764 -425.977 2438.036 711.323 -477.254 2453.310 763.881 -528.530 2468.585 816.440 -579.807 2483.860 868.999 -631.083 2499.134 921.557 -682.360 2514.409 974.116 -733.636 2529.684 1026.675 -784.912 2544.958 1079.233 -836.189 2560.233 1131.792 -887.465 2575.508 1184.350 -938.742 2590.782 1236.909 -990.018 2606.057 1289.468 -1041.295 2621.332 1342.026 -1092.571 2636.606 1394.585 -1143.848 2651.881 1447.144 -1195.124 2667.156 1499.702 -1246.401 2682.430 1552.261 -1297.677 2697.705 1604.819 -1348.954 2712.980 1657.378 -1400.230 2728.254 1709.937 -1451.507 2743.529 1762.495 -1502.783 2758.804 1815.054 -1554.059 2774.078 1867.613 -1605.336 2789.353 1920.171 -1656.612 2804.628 1972.730 -1707.889 2819.902 2025.288 -1759.165 2835.177 2119.894 -1851.463 2862.671 0 
-520038.579 1.863 2188.815 2450.871 -394.275 -341.439 2401.605 -441.359 -372.760 2352.340 -488.442 -404.082 2303.074 -535.526 -435.404 2253.809 -582.609 -466.725 2204.543 -629.693 -498.047 2155.278 -676.777 -529.369 2106.013 -723.860 -560.690 2056.747 -770.944 -592.012 2007.482 -818.027 -623.334 1958.216 -865.111 -654.656 1908.951 -912.195 -685.977 1859.685 -959.278 -717.299 1810.420 -1006.362 -748.621 1761.154 -1053.445 -779.942 1711.889 -1100.529 -811.264 1662.623 -1147.612 -842.586 1613.358 -1194.696 -873.907 1564.092 -1241.780 -905.229 1514.827 -1288.863 -936.551 1465.561 -1335.947 -967.872 1416.296 -1383.030 -999.194 1367.030 -1430.114 -1030.516 1317.765 -1477.198 -1061.837 1268.499 -1524.281 -1093.159 1219.234 -1571.365 -1124.481 1169.968 -1618.448 -1155.802 1120.703 -1665.532 -1187.124 1071.437 -1712.616 -1218.446 1022.172 -1759.699 -1249.767 972.906 -1806.783 -1281.089 923.641 -1853.866 -1312.411 874.375 -1900.950 -1343.733 825.110 -1948.033 -1375.054 775.844 -1995.117 -1406.376 726.579 -2042.201 -1437.698 677.313 -2089.284 -1469.019 628.048 -2136.368 -1500.341 578.782 -2183.451 -1531.663 490.105 -2268.202 -1588.042 0 
-2043279.950 1.824 2631.602 -2501.490 -745.493 334.842 -2538.199 -756.773 270.420 -2574.908 -768.054 205.998 -2611.617 -779.335 141.576 -2648.326 -790.616 77.154 -2685.035 -801.897 12.732 -2721.745 -813.178 -51.689 -2758.454 -824.458 -116.111 -2795.163 -835.739 -180.533 -2831.872 -847.020 -244.955 -2868.581 -858.301 -309.377 -2905.291 -869.582 -373.799 -2942.000 -880.862 -438.221 -2978.709 -892.143 -502.643 -3015.418 -903.424 -567.065 -3052.127 -914.705 -631.486 -3088.836 -925.986 -695.908 -3125.546 -937.266 -760.330 -3162.255 -948.547 -824.752 -3198.964 -959.828 -889.174 -3235.673 -971.109 -953.596 -3272.382 -982.390 -1018.018 -3309.092 -993.671 -1082.440 -3345.801 -1004.951 -1146.861 -3382.510 -1016.232 -1211.283 -3419.219 -1027.513 -1275.705 -3455.928 -1038.794 -1340.127 -3492.638 -1050.075 -1404.549 -3529.347 -1061.355 -1468.971 -3566.056 -1072.636 -1533.393 -3602.765 -1083.917 -1597.815 -3639.474 -1095.198 -1662.237 -3676.183 -1106.479 -1726.658 -3712.893 -1117.760 -1791.080 -3749.602 -1129.040 -1855.502 -3786.311 -1140.321 -1919.924 -3823.020 -1151.602 -1984.346 -3859.729 -1162.883 -2048.768 -3896.439 -1174.164 -2113.190 -3962.515 -1194.469 -2229.149 0 
