stim_amp stim_dur min_dist x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 x4 y4 z4 spike 
-245041.316 0.920 611.737 -1001.039 32.313 -43.766 -385.996 428.841 -208.042 229.048 825.369 -372.317 844.092 1221.897 -536.593 1446.835 1610.495 -697.584 0 
-732475.161 1.255 756.180 -16.179 751.054 -86.399 -174.385 1190.984 -672.856 -332.592 1630.913 -1259.314 -490.799 2070.843 -1845.771 -645.841 2501.974 -2420.500 1 
-9627388.757 1.247 2518.582 12.979 2560.124 -65.778 -635.576 2436.566 290.044 -1284.131 2313.008 645.867 -1932.686 2189.451 1001.690 -2568.270 2068.364 1350.396 0 
-4756091.109 1.591 763.875 10.947 -104.477 756.618 -637.314 -481.525 747.012 -1285.575 -858.573 737.407 -1933.836 -1235.621 727.802 -2569.132 -1605.129 718.389 1 
-22726.536 1.608 229.438 -160.324 402.920 -208.648 -160.835 -342.675 -127.482 -161.346 -1088.270 -46.316 -161.857 -1833.865 34.850 -162.358 -2564.548 114.393 0 
-1581227.531 1.698 293.145 -609.988 10.762 136.138 35.548 349.637 -39.781 681.083 688.513 -215.699 1326.618 1027.389 -391.618 1959.243 1359.487 -564.018 1 
-1889457.042 0.706 188.631 -43.948 168.415 -72.711 -188.090 146.005 -808.388 -332.233 123.594 -1544.065 -476.375 101.184 -2279.742 -617.635 79.223 -3000.706 1 
-72763.877 1.987 2262.850 28.061 189.340 2254.740 553.647 -323.424 2407.486 1079.233 -836.189 2560.233 1604.819 -1348.954 2712.980 2119.894 -1851.463 2862.671 0 
-520038.579 1.863 2188.815 2450.871 -394.275 -341.439 1958.216 -865.111 -654.656 1465.561 -1335.947 -967.872 972.906 -1806.783 -1281.089 490.105 -2268.202 -1588.042 0 
-2043279.950 1.824 2631.602 -2501.490 -745.493 334.842 -2868.581 -858.301 -309.377 -3235.673 -971.109 -953.596 -3602.765 -1083.917 -1597.815 -3962.515 -1194.469 -2229.149 0 
-4312444.033 1.001 638.944 -5.363 -394.535 731.465 300.402 -599.668 78.067 606.167 -804.801 -575.330 911.931 -1009.933 -1228.728 1211.580 -1210.963 -1869.058 1 
-17632.823 1.689 2300.285 -10.536 -140.436 -2295.970 552.321 205.764 -2650.707 1115.177 551.964 -3005.444 1678.033 898.164 -3360.181 2229.632 1237.440 -3707.823 0 
-5959447.689 1.378 1241.799 -6.978 -1241.759 7.129 -33.293 -1851.717 -428.484 -59.608 -2461.675 -864.097 -85.922 -3071.633 -1299.710 -111.711 -3669.392 -1726.610 1 
-1011538.028 1.916 80.620 3.358 8.651 -80.084 519.387 552.556 -60.565 1035.417 1096.460 -41.046 1551.447 1640.365 -21.526 2057.156 2173.392 -2.398 1 
-84230.874 1.163 974.189 1581.729 19.156 -962.366 1241.478 -22.818 -295.307 901.227 -64.791 371.752 560.977 -106.765 1038.811 227.531 -147.899 1692.529 0 
