stim_amp stim_dur min_dist x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 x4 y4 z4 x5 y5 z5 x6 y6 z6 x7 y7 z7 x8 y8 z8 x9 y9 z9 x10 y10 z10 x11 y11 z11 x12 y12 z12 x13 y13 z13 x14 y14 z14 x15 y15 z15 x16 y16 z16 x17 y17 z17 x18 y18 z18 x19 y19 z19 x20 y20 z20 x21 y21 z21 x22 y22 z22 x23 y23 z23 x24 y24 z24 x25 y25 z25 x26 y26 z26 x27 y27 z27 x28 y28 z28 x29 y29 z29 x30 y30 z30 x31 y31 z31 x32 y32 z32 x33 y33 z33 x34 y34 z34 x35 y35 z35 x36 y36 z36 x37 y37 z37 x38 y38 z38 x39 y39 z39 x40 y40 z40 x41 y41 z41 x42 y42 z42 x43 y43 z43 x44 y44 z44 x45 y45 z45 x46 y46 z46 x47 y47 z47 x48 y48 z48 x49 y49 z49 x50 y50 z50 x51 y51 z51 x52 y52 z52 x53 y53 z53 x54 y54 z54 x55 y55 z55 x56 y56 z56 x57 y57 z57 x58 y58 z58 x59 y59 z59 spike 
-245041.316 0.920 611.737 -1001.039 32.313 -43.766 -964.137 56.104 -53.622 -927.234 79.896 -63.479 -890.331 103.688 -73.335 -853.429 127.480 -83.192 -816.526 151.271 -93.048 -779.624 175.063 -102.905 -742.721 198.855 -112.762 -705.818 222.646 -122.618 -668.916 246.438 -132.475 -632.013 270.230 -142.331 -595.110 294.021 -152.188 -558.208 317.813 -162.044 -521.305 341.605 -171.901 -484.403 365.396 -181.757 -447.500 389.188 -191.614 -410.597 412.980 -201.470 -373.695 436.772 -211.327 -336.792 460.563 -221.184 -299.889 484.355 -231.040 -262.987 508.147 -240.897 -226.084 531.938 -250.753 -189.182 555.730 -260.610 -152.279 579.522 -270.466 -115.376 603.313 -280.323 -78.474 627.105 -290.179 -41.571 650.897 -300.036 -4.668 674.688 -309.893 32.234 698.480 -319.749 69.137 722.272 -329.606 106.039 746.064 -339.462 142.942 769.855 -349.319 179.845 793.647 -359.175 216.747 817.439 -369.032 253.650 841.230 -378.888 290.553 865.022 -388.745 327.455 888.814 -398.602 364.358 912.605 -408.458 401.260 936.397 -418.315 438.163 960.189 -428.171 475.066 983.981 -438.028 511.968 1007.772 -447.884 548.871 1031.564 -457.741 585.774 1055.356 -467.597 622.676 1079.147 -477.454 659.579 1102.939 -487.310 696.481 1126.731 -497.167 733.384 1150.522 -507.024 770.287 1174.314 -516.880 807.189 1198.106 -526.737 844.092 1221.897 -536.593 880.995 1245.689 -546.450 917.897 1269.481 -556.306 954.800 1293.273 -566.163 991.702 1317.064 -576.019 1028.605 1340.856 -585.876 1065.508 1364.648 -595.733 1102.410 1388.439 -605.589 1139.313 1412.231 -615.446 1446.835 1610.495 -697.584 0 
-732475.161 1.255 756.180 -16.179 751.054 -86.399 -25.671 777.450 -121.586 -35.164 803.845 -156.774 -44.656 830.241 -191.961 -54.148 856.637 -227.148 -63.641 883.033 -262.336 -73.133 909.429 -297.523 -82.626 935.824 -332.711 -92.118 962.220 -367.898 -101.610 988.616 -403.086 -111.103 1015.012 -438.273 -120.595 1041.407 -473.461 -130.088 1067.803 -508.648 -139.580 1094.199 -543.836 -149.072 1120.595 -579.023 -158.565 1146.991 -614.211 -168.057 1173.386 -649.398 -177.550 1199.782 -684.585 -187.042 1226.178 -719.773 -196.534 1252.574 -754.960 -206.027 1278.969 -790.148 -215.519 1305.365 -825.335 -225.012 1331.761 -860.523 -234.504 1358.157 -895.710 -243.996 1384.553 -930.898 -253.489 1410.948 -966.085 -262.981 1437.344 -1001.273 -272.474 1463.740 -1036.460 -281.966 1490.136 -1071.647 -291.458 1516.532 -1106.835 -300.951 1542.927 -1142.022 -310.443 1569.323 -1177.210 -319.936 1595.719 -1212.397 -329.428 1622.115 -1247.585 -338.920 1648.510 -1282.772 -348.413 1674.906 -1317.960 -357.905 1701.302 -1353.147 -367.397 1727.698 -1388.335 -376.890 1754.094 -1423.522 -386.382 1780.489 -1458.709 -395.875 1806.885 -1493.897 -405.367 1833.281 -1529.084 -414.859 1859.677 -1564.272 -424.352 1886.072 -1599.459 -433.844 1912.468 -1634.647 -443.337 1938.864 -1669.834 -452.829 1965.260 -1705.022 -462.321 1991.656 -1740.209 -471.814 2018.051 -1775.397 -481.306 2044.447 -1810.584 -490.799 2070.843 -1845.771 -500.291 2097.239 -1880.959 -509.783 2123.635 -1916.146 -519.276 2150.030 -1951.334 -528.768 2176.426 -1986.521 -538.261 2202.822 -2021.709 -547.753 2229.218 -2056.896 -557.245 2255.613 -2092.084 -566.738 2282.009 -2127.271 -645.841 2501.974 -2420.500 1 
-9627388.757 1.247 2518.582 12.979 2560.124 -65.778 -25.934 2552.710 -44.429 -64.848 2545.297 -23.080 -103.761 2537.883 -1.730 -142.674 2530.470 19.619 -181.588 2523.056 40.968 -220.501 2515.643 62.318 -259.414 2508.230 83.667 -298.328 2500.816 105.016 -337.241 2493.403 126.366 -376.154 2485.989 147.715 -415.067 2478.576 169.065 -453.981 2471.162 190.414 -492.894 2463.749 211.763 -531.807 2456.335 233.113 -570.721 2448.922 254.462 -609.634 2441.508 275.811 -648.547 2434.095 297.161 -687.461 2426.681 318.510 -726.374 2419.268 339.860 -765.287 2411.854 361.209 -804.200 2404.441 382.558 -843.114 2397.028 403.908 -882.027 2389.614 425.257 -920.940 2382.201 446.606 -959.854 2374.787 467.956 -998.767 2367.374 489.305 -1037.680 2359.960 510.655 -1076.594 2352.547 532.004 -1115.507 2345.133 553.353 -1154.420 2337.720 574.703 -1193.333 2330.306 596.052 -1232.247 2322.893 617.401 -1271.160 2315.479 638.751 -1310.073 2308.066 660.100 -1348.987 2300.653 681.449 -1387.900 2293.239 702.799 -1426.813 2285.826 724.148 -1465.727 2278.412 745.498 -1504.640 2270.999 766.847 -1543.553 2263.585 788.196 -1582.466 2256.172 809.546 -1621.380 2248.758 830.895 -1660.293 2241.345 852.244 -1699.206 2233.931 873.594 -1738.120 2226.518 894.943 -1777.033 2219.104 916.293 -1815.946 2211.691 937.642 -1854.860 2204.277 958.991 -1893.773 2196.864 980.341 -1932.686 2189.451 1001.690 -1971.599 2182.037 1023.039 -2010.513 2174.624 1044.389 -2049.426 2167.210 1065.738 -2088.339 2159.797 1087.088 -2127.253 2152.383 1108.437 -2166.166 2144.970 1129.786 -2205.079 2137.556 1151.136 -2243.993 2130.143 1172.485 -2568.270 2068.364 1350.396 0 
-4756091.109 1.591 763.875 10.947 -104.477 756.618 -27.949 -127.099 756.041 -66.845 -149.722 755.465 -105.740 -172.345 754.889 -144.636 -194.968 754.312 -183.532 -217.591 753.736 -222.427 -240.214 753.160 -261.323 -262.837 752.583 -300.219 -285.460 752.007 -339.114 -308.083 751.431 -378.010 -330.706 750.855 -416.906 -353.328 750.278 -455.801 -375.951 749.702 -494.697 -398.574 749.126 -533.593 -421.197 748.549 -572.488 -443.820 747.973 -611.384 -466.443 747.397 -650.280 -489.066 746.820 -689.175 -511.689 746.244 -728.071 -534.312 745.668 -766.967 -556.934 745.091 -805.862 -579.557 744.515 -844.758 -602.180 743.939 -883.654 -624.803 743.362 -922.549 -647.426 742.786 -961.445 -670.049 742.210 -1000.341 -692.672 741.634 -1039.236 -715.295 741.057 -1078.132 -737.918 740.481 -1117.028 -760.541 739.905 -1155.923 -783.163 739.328 -1194.819 -805.786 738.752 -1233.714 -828.409 738.176 -1272.610 -851.032 737.599 -1311.506 -873.655 737.023 -1350.401 -896.278 736.447 -1389.297 -918.901 735.870 -1428.193 -941.524 735.294 -1467.088 -964.147 734.718 -1505.984 -986.769 734.141 -1544.880 -1009.392 733.565 -1583.775 -1032.015 732.989 -1622.671 -1054.638 732.413 -1661.567 -1077.261 731.836 -1700.462 -1099.884 731.260 -1739.358 -1122.507 730.684 -1778.254 -1145.130 730.107 -1817.149 -1167.753 729.531 -1856.045 -1190.376 728.955 -1894.941 -1212.998 728.378 -1933.836 -1235.621 727.802 -1972.732 -1258.244 727.226 -2011.628 -1280.867 726.649 -2050.523 -1303.490 726.073 -2089.419 -1326.113 725.497 -2128.315 -1348.736 724.920 -2167.210 -1371.359 724.344 -2206.106 -1393.982 723.768 -2245.002 -1416.604 723.192 -2569.132 -1605.129 718.389 1 
-22726.536 1.608 229.438 -160.324 402.920 -208.648 -160.354 358.184 -203.778 -160.385 313.448 -198.908 -160.416 268.712 -194.038 -160.446 223.977 -189.168 -160.477 179.241 -184.298 -160.508 134.505 -179.428 -160.538 89.770 -174.558 -160.569 45.034 -169.688 -160.600 0.298 -164.818 -160.630 -44.437 -159.948 -160.661 -89.173 -155.078 -160.692 -133.909 -150.208 -160.723 -178.645 -145.338 -160.753 -223.380 -140.468 -160.784 -268.116 -135.598 -160.815 -312.852 -130.728 -160.845 -357.587 -125.858 -160.876 -402.323 -120.988 -160.907 -447.059 -116.118 -160.937 -491.794 -111.248 -160.968 -536.530 -106.378 -160.999 -581.266 -101.508 -161.029 -626.001 -96.638 -161.060 -670.737 -91.769 -161.091 -715.473 -86.899 -161.121 -760.209 -82.029 -161.152 -804.944 -77.159 -161.183 -849.680 -72.289 -161.213 -894.416 -67.419 -161.244 -939.151 -62.549 -161.275 -983.887 -57.679 -161.305 -1028.623 -52.809 -161.336 -1073.358 -47.939 -161.367 -1118.094 -43.069 -161.397 -1162.830 -38.199 -161.428 -1207.566 -33.329 -161.459 -1252.301 -28.459 -161.489 -1297.037 -23.589 -161.520 -1341.773 -18.719 -161.551 -1386.508 -13.849 -161.581 -1431.244 -8.979 -161.612 -1475.980 -4.109 -161.643 -1520.715 0.761 -161.673 -1565.451 5.631 -161.704 -1610.187 10.501 -161.735 -1654.922 15.371 -161.765 -1699.658 20.241 -161.796 -1744.394 25.110 -161.827 -1789.130 29.980 -161.857 -1833.865 34.850 -161.888 -1878.601 39.720 -161.919 -1923.337 44.590 -161.949 -1968.072 49.460 -161.980 -2012.808 54.330 -162.011 -2057.544 59.200 -162.041 -2102.279 64.070 -162.072 -2147.015 68.940 -162.103 -2191.751 73.810 -162.358 -2564.548 114.393 0 
-1581227.531 1.698 293.145 -609.988 10.762 136.138 -571.256 31.094 125.583 -532.524 51.427 115.028 -493.791 71.759 104.473 -455.059 92.092 93.918 -416.327 112.424 83.362 -377.595 132.757 72.807 -338.863 153.089 62.252 -300.131 173.422 51.697 -261.399 193.754 41.142 -222.667 214.087 30.587 -183.934 234.420 20.032 -145.202 254.752 9.477 -106.470 275.085 -1.078 -67.738 295.417 -11.634 -29.006 315.750 -22.189 9.726 336.082 -32.744 48.458 356.415 -43.299 87.190 376.747 -53.854 125.923 397.080 -64.409 164.655 417.412 -74.964 203.387 437.745 -85.519 242.119 458.077 -96.075 280.851 478.410 -106.630 319.583 498.743 -117.185 358.315 519.075 -127.740 397.047 539.408 -138.295 435.779 559.740 -148.850 474.512 580.073 -159.405 513.244 600.405 -169.960 551.976 620.738 -180.515 590.708 641.070 -191.071 629.440 661.403 -201.626 668.172 681.735 -212.181 706.904 702.068 -222.736 745.636 722.401 -233.291 784.369 742.733 -243.846 823.101 763.066 -254.401 861.833 783.398 -264.956 900.565 803.731 -275.511 939.297 824.063 -286.067 978.029 844.396 -296.622 1016.761 864.728 -307.177 1055.493 885.061 -317.732 1094.226 905.393 -328.287 1132.958 925.726 -338.842 1171.690 946.059 -349.397 1210.422 966.391 -359.952 1249.154 986.724 -370.507 1287.886 1007.056 -381.063 1326.618 1027.389 -391.618 1365.350 1047.721 -402.173 1404.083 1068.054 -412.728 1442.815 1088.386 -423.283 1481.547 1108.719 -433.838 1520.279 1129.051 -444.393 1559.011 1149.384 -454.948 1597.743 1169.717 -465.504 1636.475 1190.049 -476.059 1959.243 1359.487 -564.018 1 
-1889457.042 0.706 188.631 -43.948 168.415 -72.711 -52.597 167.070 -116.852 -61.245 165.725 -160.992 -69.894 164.381 -205.133 -78.542 163.036 -249.274 -87.191 161.692 -293.414 -95.839 160.347 -337.555 -104.488 159.002 -381.695 -113.136 157.658 -425.836 -121.785 156.313 -469.977 -130.433 154.969 -514.117 -139.082 153.624 -558.258 -147.731 152.279 -602.399 -156.379 150.935 -646.539 -165.028 149.590 -690.680 -173.676 148.246 -734.820 -182.325 146.901 -778.961 -190.973 145.556 -823.102 -199.622 144.212 -867.242 -208.270 142.867 -911.383 -216.919 141.523 -955.524 -225.567 140.178 -999.664 -234.216 138.833 -1043.805 -242.865 137.489 -1087.945 -251.513 136.144 -1132.086 -260.162 134.800 -1176.227 -268.810 133.455 -1220.367 -277.459 132.110 -1264.508 -286.107 130.766 -1308.649 -294.756 129.421 -1352.789 -303.404 128.076 -1396.930 -312.053 126.732 -1441.070 -320.701 125.387 -1485.211 -329.350 124.043 -1529.352 -337.999 122.698 -1573.492 -346.647 121.353 -1617.633 -355.296 120.009 -1661.774 -363.944 118.664 -1705.914 -372.593 117.320 -1750.055 -381.241 115.975 -1794.195 -389.890 114.630 -1838.336 -398.538 113.286 -1882.477 -407.187 111.941 -1926.617 -415.835 110.597 -1970.758 -424.484 109.252 -2014.899 -433.132 107.907 -2059.039 -441.781 106.563 -2103.180 -450.430 105.218 -2147.320 -459.078 103.874 -2191.461 -467.727 102.529 -2235.602 -476.375 101.184 -2279.742 -485.024 99.840 -2323.883 -493.672 98.495 -2368.024 -502.321 97.151 -2412.164 -510.969 95.806 -2456.305 -519.618 94.461 -2500.445 -528.266 93.117 -2544.586 -536.915 91.772 -2588.727 -545.564 90.428 -2632.867 -617.635 79.223 -3000.706 1 
-72763.877 1.987 2262.850 28.061 189.340 2254.740 59.596 158.574 2263.905 91.131 127.809 2273.069 122.666 97.043 2282.234 154.201 66.277 2291.399 185.737 35.511 2300.564 217.272 4.745 2309.729 248.807 -26.021 2318.893 280.342 -56.787 2328.058 311.877 -87.553 2337.223 343.412 -118.318 2346.388 374.948 -149.084 2355.553 406.483 -179.850 2364.717 438.018 -210.616 2373.882 469.553 -241.382 2383.047 501.088 -272.148 2392.212 532.623 -302.914 2401.377 564.159 -333.680 2410.541 595.694 -364.446 2419.706 627.229 -395.211 2428.871 658.764 -425.977 2438.036 690.299 -456.743 2447.201 721.835 -487.509 2456.365 753.370 -518.275 2465.530 784.905 -549.041 2474.695 816.440 -579.807 2483.860 847.975 -610.573 2493.025 879.510 -641.338 2502.189 911.046 -672.104 2511.354 942.581 -702.870 2520.519 974.116 -733.636 2529.684 1005.651 -764.402 2538.849 1037.186 -795.168 2548.013 1068.721 -825.934 2557.178 1100.257 -856.700 2566.343 1131.792 -887.465 2575.508 1163.327 -918.231 2584.673 1194.862 -948.997 2593.837 1226.397 -979.763 2603.002 1257.933 -1010.529 2612.167 1289.468 -1041.295 2621.332 1321.003 -1072.061 2630.496 1352.538 -1102.827 2639.661 1384.073 -1133.592 2648.826 1415.608 -1164.358 2657.991 1447.144 -1195.124 2667.156 1478.679 -1225.890 2676.320 1510.214 -1256.656 2685.485 1541.749 -1287.422 2694.650 1573.284 -1318.188 2703.815 1604.819 -1348.954 2712.980 1636.355 -1379.719 2722.144 1667.890 -1410.485 2731.309 1699.425 -1441.251 2740.474 1730.960 -1472.017 2749.639 1762.495 -1502.783 2758.804 1794.031 -1533.549 2767.968 1825.566 -1564.315 2777.133 1857.101 -1595.081 2786.298 2119.894 -1851.463 2862.671 0 
-520038.579 1.863 2188.815 2450.871 -394.275 -341.439 2421.312 -422.525 -360.232 2391.752 -450.775 -379.025 2362.193 -479.026 -397.818 2332.634 -507.276 -416.611 2303.074 -535.526 -435.404 2273.515 -563.776 -454.197 2243.956 -592.026 -472.990 2214.397 -620.276 -491.783 2184.837 -648.526 -510.576 2155.278 -676.777 -529.369 2125.719 -705.027 -548.162 2096.159 -733.277 -566.955 2066.600 -761.527 -585.748 2037.041 -789.777 -604.541 2007.482 -818.027 -623.334 1977.922 -846.277 -642.127 1948.363 -874.528 -660.920 1918.804 -902.778 -679.713 1889.244 -931.028 -698.506 1859.685 -959.278 -717.299 1830.126 -987.528 -736.092 1800.567 -1015.778 -754.885 1771.007 -1044.029 -773.678 1741.448 -1072.279 -792.471 1711.889 -1100.529 -811.264 1682.329 -1128.779 -830.057 1652.770 -1157.029 -848.850 1623.211 -1185.279 -867.643 1593.651 -1213.529 -886.436 1564.092 -1241.780 -905.229 1534.533 -1270.030 -924.022 1504.974 -1298.280 -942.815 1475.414 -1326.530 -961.608 1445.855 -1354.780 -980.401 1416.296 -1383.030 -999.194 1386.736 -1411.281 -1017.987 1357.177 -1439.531 -1036.780 1327.618 -1467.781 -1055.573 1298.059 -1496.031 -1074.366 1268.499 -1524.281 -1093.159 1238.940 -1552.531 -1111.952 1209.381 -1580.781 -1130.745 1179.821 -1609.032 -1149.538 1150.262 -1637.282 -1168.331 1120.703 -1665.532 -1187.124 1091.144 -1693.782 -1205.917 1061.584 -1722.032 -1224.710 1032.025 -1750.282 -1243.503 1002.466 -1778.533 -1262.296 972.906 -1806.783 -1281.089 943.347 -1835.033 -1299.882 913.788 -1863.283 -1318.675 884.228 -1891.533 -1337.468 854.669 -1919.783 -1356.261 825.110 -1948.033 -1375.054 795.551 -1976.284 -1393.847 765.991 -2004.534 -1412.640 736.432 -2032.784 -1431.433 490.105 -2268.202 -1588.042 0 
-2043279.950 1.824 2631.602 -2501.490 -745.493 334.842 -2523.515 -752.261 296.189 -2545.541 -759.030 257.536 -2567.566 -765.798 218.882 -2589.592 -772.567 180.229 -2611.617 -779.335 141.576 -2633.643 -786.104 102.923 -2655.668 -792.872 64.270 -2677.694 -799.641 25.617 -2699.719 -806.409 -13.036 -2721.745 -813.178 -51.689 -2743.770 -819.946 -90.343 -2765.796 -826.715 -128.996 -2787.821 -833.483 -167.649 -2809.847 -840.252 -206.302 -2831.872 -847.020 -244.955 -2853.898 -853.788 -283.608 -2875.923 -860.557 -322.261 -2897.949 -867.325 -360.914 -2919.974 -874.094 -399.568 -2942.000 -880.862 -438.221 -2964.025 -887.631 -476.874 -2986.051 -894.399 -515.527 -3008.076 -901.168 -554.180 -3030.102 -907.936 -592.833 -3052.127 -914.705 -631.486 -3074.153 -921.473 -670.140 -3096.178 -928.242 -708.793 -3118.204 -935.010 -747.446 -3140.229 -941.779 -786.099 -3162.255 -948.547 -824.752 -3184.280 -955.316 -863.405 -3206.306 -962.084 -902.058 -3228.331 -968.853 -940.711 -3250.357 -975.621 -979.365 -3272.382 -982.390 -1018.018 -3294.408 -989.158 -1056.671 -3316.433 -995.927 -1095.324 -3338.459 -1002.695 -1133.977 -3360.484 -1009.464 -1172.630 -3382.510 -1016.232 -1211.283 -3404.535 -1023.001 -1249.936 -3426.561 -1029.769 -1288.590 -3448.586 -1036.538 -1327.243 -3470.612 -1043.306 -1365.896 -3492.638 -1050.075 -1404.549 -3514.663 -1056.843 -1443.202 -3536.689 -1063.612 -1481.855 -3558.714 -1070.380 -1520.508 -3580.740 -1077.149 -1559.162 -3602.765 -1083.917 -1597.815 -3624.791 -1090.686 -1636.468 -3646.816 -1097.454 -1675.121 -3668.842 -1104.223 -1713.774 -3690.867 -1110.991 -1752.427 -3712.893 -1117.760 -1791.080 -3734.918 -1124.528 -1829.733 -3756.944 -1131.296 -1868.387 -3778.969 -1138.065 -1907.040 -3962.515 -1194.469 -2229.149 0 
